time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1607351400,100,133,90.03,119.58,NaN,133,90.03,119.58,NaN,NaN,NaN,NaN,59447847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607956200,122.16,145,98.1,137.59,NaN,145,98.1,137.59,NaN,NaN,NaN,NaN,31273497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608561000,142.0135,183.9,141,161,NaN,183.9,141,161,NaN,NaN,NaN,NaN,35156414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1609165800,168.68,168.7975,135,138.75,NaN,168.7975,135,138.75,NaN,NaN,NaN,NaN,18703143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1609770600,131.14,147.5,112.05,143.63,NaN,147.5,112.05,143.63,NaN,NaN,NaN,NaN,27856286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1610375400,136,151.8396,127.54,134.15,NaN,151.8396,127.54,134.15,NaN,NaN,NaN,NaN,14015217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611066600,136,137.7899,122.82,126.57,NaN,137.7899,122.82,126.57,NaN,NaN,NaN,NaN,10521198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611585000,127.6,160.43,127.36,139.6,NaN,160.43,127.36,139.6,NaN,NaN,NaN,NaN,19012253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1612189800,140.69,158.27,133.58,146.6,NaN,158.27,133.58,146.6,NaN,NaN,NaN,NaN,13134076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1612794600,150,176.9399,145.8,153.73,NaN,176.9399,145.8,153.73,NaN,NaN,NaN,NaN,12783995,140.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1613485800,155.4,157.5,131,134.54,NaN,157.5,131,134.54,NaN,NaN,NaN,NaN,11094138,141.61599999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
