time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1746473400,22.2,22.24,21.98,21.995,NaN,22.24,21.98,21.995,22.132499999999997,22.151131948658755,22.151131948658755,22.151131948658755,48280,22.19649999999998,22.151399999999988,NaN,41.03277141983957,48.107487867665284,NaN,NaN,NaN,NaN,NaN,NaN
1746538200,21.44,21.72,21.23,21.27,NaN,21.72,21.23,21.27,21.9725,22.121424040202132,22.121424040202132,22.121424040202132,39887,22.125999999999976,22.14099999999999,22.125999999999976,26.79805837507429,46.06449985538392,NaN,NaN,26.79805837507429,NaN,NaN,NaN
1746540000,21.26,21.73,21.25,21.68,NaN,21.73,21.25,21.68,21.9725,22.092047002794544,22.092047002794544,22.092047002794544,18938,22.084999999999976,22.13579999999999,NaN,39.566214831170676,45.40340092126616,NaN,NaN,NaN,NaN,NaN,NaN
1746541800,21.69,21.8,21.64,21.64,NaN,21.8,21.64,21.64,21.972499999999997,22.063656891784486,22.063656891784486,22.063656891784486,9861,22.033999999999974,22.128799999999988,NaN,38.854175295388536,44.94420603567398,NaN,NaN,NaN,NaN,NaN,NaN
1746543600,21.63,21.775,21.63,21.77,NaN,21.775,21.63,21.77,21.9725,22.03733543169699,22.03733543169699,22.03733543169699,13646,21.994999999999976,22.126799999999985,NaN,42.477328476970854,44.78907037327014,NaN,NaN,NaN,NaN,NaN,NaN
1746545400,21.77,21.77,21.66,21.66,NaN,21.77,21.66,21.66,21.9725,22.014414090932966,22.014414090932966,22.014414090932966,8649,21.916999999999973,22.12089999999999,NaN,40.30126013447578,44.831167737246965,NaN,NaN,NaN,NaN,NaN,NaN
1746547200,21.67,21.83,21.66,21.7,NaN,21.83,21.66,21.7,21.9725,21.996171679919925,21.996171679919925,21.996171679919925,5610,21.850999999999974,22.115799999999986,NaN,41.47536275137248,44.627100601184694,NaN,NaN,NaN,NaN,NaN,NaN
1746549000,21.7,21.73,21.55,21.55,NaN,21.73,21.55,21.55,21.9725,21.983426275823938,21.983426275823938,21.983426275823938,5008,21.774499999999975,22.108999999999988,NaN,38.42357312876951,44.04089429525808,NaN,NaN,NaN,NaN,NaN,NaN
1746550800,21.56,21.64,21.55,21.55,NaN,21.64,21.55,21.55,21.9725,21.976126667217596,21.976126667217596,21.976126667217596,5298,21.702499999999976,22.102299999999982,NaN,38.42357312876951,43.42664854417617,NaN,NaN,NaN,NaN,NaN,NaN
1746552600,21.57,21.6,21.48,21.5,NaN,21.6,21.48,21.5,21.972500000000004,21.97316857785971,21.97316857785971,21.97316857785971,10945,21.631499999999974,22.096699999999984,NaN,37.36082828457934,42.049568744954186,NaN,NaN,37.36082828457934,NaN,NaN,NaN
