time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1616679000,11.5,12.3299,11.16,12.03,NaN,12.3299,11.16,12.03,17.12999999959538,17.122549106936322,17.122549106936322,17.122549106936322,1621680,12.874000000000013,15.111199999999998,NaN,40.56255032061251,41.67373193978365,NaN,NaN,NaN,NaN,NaN,NaN
1616765400,12.34,12.47,11.81,12.39,NaN,12.47,11.81,12.39,17.12999999989967,17.1276384209493,17.1276384209493,17.1276384209493,842577,12.733000000000011,15.091999999999999,NaN,42.92271903042906,42.210429399144914,NaN,NaN,NaN,NaN,NaN,NaN
1617024600,12.51,12.9,11.63,11.71,NaN,12.9,11.63,11.71,17.104999999932357,17.125650177722495,17.125650177722495,17.125650177722495,1301756,12.544000000000013,15.036999999999999,NaN,39.71477977700087,42.44493060539634,NaN,NaN,NaN,NaN,NaN,NaN
1617111000,11.49,11.765,11.09,11.45,NaN,11.765,11.09,11.45,16.974999999985386,17.10148731114458,17.10148731114458,17.10148731114458,991145,12.395000000000012,14.975999999999999,NaN,38.52907488871876,42.597072146892025,NaN,NaN,38.52907488871876,NaN,NaN,NaN
1617197400,11.28,11.94,11.1826,11.67,NaN,11.94,11.1826,11.67,16.974999999995937,17.077036778644427,17.077036778644427,17.077036778644427,1220214,12.262000000000011,14.885,NaN,40.15713649393258,42.33811576822658,NaN,NaN,NaN,NaN,NaN,NaN
1617283800,11.67,11.8,11.03,11.39,NaN,11.8,11.03,11.39,16.94499999999916,17.048411794998525,17.048411794998525,17.048411794998525,1651533,12.166000000000011,14.792,NaN,38.75044827552996,41.8022251656656,NaN,NaN,NaN,NaN,NaN,NaN
1617629400,11.69,12.88,11.13,12.63,NaN,12.88,11.13,12.63,16.944999999999986,17.021341333576512,17.021341333576512,17.021341333576512,1304269,12.181000000000012,14.7206,NaN,47.51826796508992,41.95398444400509,NaN,NaN,NaN,NaN,47.51826796508992,NaN
1617715800,12.19,12.19,11.53,11.6,NaN,12.19,11.53,11.6,16.944999999999997,16.997058906526743,16.997058906526743,16.997058906526743,1308837,11.97600000000001,14.635,NaN,42.12415408452288,41.92126388166978,NaN,NaN,NaN,NaN,NaN,NaN
1617802200,11.63,12.47,11.31,11.81,NaN,12.47,11.31,11.81,16.945,16.976891242636576,16.976891242636576,16.976891242636576,2954774,11.86800000000001,14.574200000000001,NaN,43.53160009346203,41.96435725977558,NaN,NaN,NaN,NaN,NaN,NaN
1617888600,11.9162,12.1045,10.5,10.78,NaN,12.1045,10.5,10.78,16.64,16.913362437902286,16.913362437902286,16.913362437902286,2140445,11.74600000000001,14.506400000000001,NaN,38.57642522144191,41.85494921409589,NaN,NaN,NaN,NaN,NaN,NaN
1617975000,10.62,10.62,9.75,10,NaN,10.62,9.75,10,16.249999999999922,16.7934186164026,16.7934186164026,16.7934186164026,1949530,11.54300000000001,14.446000000000002,NaN,35.29951077742257,41.45178857083216,NaN,NaN,NaN,NaN,NaN,NaN
1618234200,10.1,10.15,9.33,9.69,NaN,10.15,9.33,9.69,16.09499999999411,16.65475425458084,16.65475425458084,16.65475425458084,1193413,11.273000000000009,14.359200000000001,NaN,34.06113069691081,40.45768667861257,NaN,NaN,NaN,NaN,NaN,NaN
1618320600,9.54,9.65,8.52,8.76,NaN,9.65,8.52,8.76,15.629999999830558,16.44916726683332,16.44916726683332,16.44916726683332,2221554,10.978000000000009,14.2644,NaN,30.593589392910147,39.47951020235312,NaN,NaN,NaN,NaN,NaN,NaN
1618407000,8.8,8.82,8.1,8.53,NaN,8.82,8.1,8.53,15.514999988498557,16.23555210986468,16.23555210986468,16.23555210986468,1618224,10.686000000000009,14.146,NaN,29.785975138434452,38.72338301117275,NaN,NaN,NaN,NaN,NaN,NaN
1618493400,8.65,9.12,8.15,8.45,NaN,9.12,8.15,8.45,15.47499963035685,16.03254267788991,16.03254267788991,16.03254267788991,1171800,10.364000000000008,14.0274,NaN,29.49432722698505,37.93279564734221,NaN,NaN,NaN,NaN,NaN,NaN
