time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1572269400,9.77,9.77,9.77,9.77,NaN,9.77,9.77,9.77,NaN,NaN,NaN,NaN,300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1572877800,9.78,9.78,9.77,9.77,NaN,9.78,9.77,9.77,NaN,NaN,NaN,NaN,161191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1573482600,9.78,9.79,9.78,9.78,NaN,9.79,9.78,9.78,NaN,NaN,NaN,NaN,394001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574087400,9.79,9.85,9.79,9.83,NaN,9.85,9.79,9.83,NaN,NaN,NaN,NaN,2905198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574692200,9.84,9.84,9.81,9.8184,NaN,9.84,9.81,9.8184,NaN,NaN,NaN,NaN,65372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575297000,9.82,9.9,9.82,9.8499,NaN,9.9,9.82,9.8499,NaN,NaN,NaN,NaN,322991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575901800,9.83,9.84,9.83,9.84,NaN,9.84,9.83,9.84,NaN,NaN,NaN,NaN,296178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1576506600,9.85,9.87,9.85,9.87,NaN,9.87,9.85,9.87,NaN,NaN,NaN,NaN,150958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1577716200,9.87,9.89,9.87,9.89,NaN,9.89,9.87,9.89,NaN,NaN,NaN,NaN,105006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1578321000,9.9,9.92,9.89,9.9,NaN,9.92,9.89,9.9,NaN,NaN,NaN,NaN,430700,9.83183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1578925800,9.92,9.96,9.92,9.95,NaN,9.96,9.92,9.95,NaN,NaN,NaN,NaN,288904,9.84983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1579617000,9.97,10.01,9.97,9.99,NaN,10.01,9.97,9.99,NaN,NaN,NaN,NaN,600554,9.87183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1580135400,9.99,10.04,9.98,10,NaN,10.04,9.98,10,NaN,NaN,NaN,NaN,107600,9.89383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1580740200,10,10.01,10,10,NaN,10.01,10,10,NaN,NaN,NaN,NaN,23342,9.91083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1581345000,10,10.01,9.99,10,NaN,10.01,9.99,10,NaN,NaN,NaN,NaN,567742,9.92899,NaN,NaN,92.12454212454224,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1582036200,10.01,10.0184,10.01,10.01,NaN,10.0184,10.01,10.01,NaN,NaN,NaN,NaN,176701,9.945,NaN,NaN,92.42342098129586,NaN,NaN,NaN,NaN,NaN,92.42342098129586,NaN
1582554600,10.01,10.01,9.98,9.98,NaN,10.01,9.98,9.98,NaN,NaN,NaN,NaN,473550,9.959,NaN,NaN,82.3290673700246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1583159400,9.98,10.0973,9.97,9.9727,NaN,10.0973,9.97,9.9727,NaN,NaN,NaN,NaN,400739,9.96927,NaN,NaN,80.0383018929253,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1583760600,9.95,9.9502,9.76,9.8,NaN,9.9502,9.76,9.8,NaN,NaN,NaN,NaN,2468553,9.960270000000001,NaN,NaN,46.83630430834501,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1584365400,9.6,9.805,9.5,9.51,NaN,9.805,9.5,9.51,NaN,NaN,NaN,NaN,1231730,9.921270000000002,NaN,NaN,26.76108208249424,NaN,NaN,NaN,26.76108208249424,NaN,NaN,NaN
1584970200,9.6288,9.96,9.6,9.8,NaN,9.96,9.6,9.8,NaN,NaN,NaN,NaN,166758,9.906270000000001,NaN,NaN,49.89114830739083,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585575000,9.77,10.1,9.75,9.85,NaN,10.1,9.75,9.85,NaN,NaN,NaN,NaN,435429,9.892270000000002,NaN,NaN,52.666755000634694,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586179800,9.82,9.8697,9.8139,9.8139,NaN,9.8697,9.8139,9.8139,NaN,NaN,NaN,NaN,943,9.873660000000001,NaN,NaN,50.49210757340069,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586784600,9.85,9.875,9.84,9.84,NaN,9.875,9.84,9.84,NaN,NaN,NaN,NaN,9659,9.857660000000001,NaN,NaN,52.034171004654105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1587389400,9.9,9.93,9.885,9.93,NaN,9.93,9.885,9.93,NaN,NaN,NaN,NaN,26050,9.850660000000001,NaN,NaN,57.00708940269432,NaN,NaN,NaN,NaN,NaN,57.00708940269432,NaN
1587994200,9.89,9.92,9.88,9.92,NaN,9.92,9.88,9.92,NaN,NaN,NaN,NaN,163351,9.841660000000001,NaN,NaN,56.30854207621845,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1588599000,9.88,9.9136,9.87,9.9,NaN,9.9136,9.87,9.9,NaN,NaN,NaN,NaN,107721,9.833660000000002,NaN,NaN,54.860629200242215,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1589203800,9.9,9.9,9.9,9.9,NaN,9.9,9.9,9.9,NaN,NaN,NaN,NaN,3200,9.82639,NaN,NaN,54.860629200242215,60.61669932322177,NaN,NaN,NaN,NaN,NaN,NaN
1590499800,9.9,9.9,9.87,9.87,NaN,9.9,9.87,9.87,NaN,NaN,NaN,NaN,109025,9.833390000000001,NaN,NaN,52.51162273353005,57.78720508100661,NaN,NaN,NaN,NaN,NaN,NaN
1591018200,9.92,9.93,9.92,9.92,NaN,9.93,9.92,9.92,9.76,NaN,NaN,NaN,502864,9.874390000000002,NaN,NaN,55.90075135549318,55.178442964877846,NaN,NaN,NaN,NaN,NaN,NaN
1591623000,9.955,10.01,9.92,9.92,NaN,10.01,9.92,9.92,9.76,NaN,NaN,NaN,367950,9.88639,NaN,NaN,55.90075135549318,53.29070610669703,NaN,NaN,NaN,NaN,NaN,NaN
1592227800,9.92,10.02,9.92,10.02,NaN,10.02,9.92,10.02,9.765,NaN,NaN,NaN,873605,9.90339,NaN,NaN,62.16406988334247,52.01397524886969,NaN,NaN,NaN,NaN,NaN,NaN
1592832600,10.02,10.0782,10.02,10.04,NaN,10.0782,10.02,10.04,9.774999999999999,NaN,NaN,NaN,257974,9.926,NaN,NaN,63.28713833003597,53.18903482184761,NaN,NaN,NaN,NaN,NaN,NaN
1593437400,10.045,10.22,10.03,10.22,NaN,10.22,10.03,10.22,9.865,NaN,NaN,NaN,171724,9.964,NaN,NaN,71.48942553126318,56.38391649675969,NaN,NaN,NaN,NaN,71.48942553126318,NaN
1594042200,10.22,10.22,10.08,10.1,NaN,10.22,10.08,10.1,9.865,NaN,NaN,NaN,89962,9.981,NaN,NaN,61.60745750284384,57.220795725006326,NaN,NaN,NaN,NaN,NaN,NaN
1594647000,10.1385,10.18,10.11,10.13,NaN,10.18,10.11,10.13,9.864999999999998,NaN,NaN,NaN,176893,10.001999999999999,NaN,NaN,62.984997178312625,57.9578130234119,NaN,NaN,NaN,NaN,NaN,NaN
1595251800,10.2,10.3,10.15,10.2,NaN,10.3,10.15,10.2,9.865,NaN,NaN,NaN,562108,10.032,NaN,NaN,66.04629693788478,59.068826549446484,NaN,NaN,NaN,NaN,NaN,NaN
1595856600,10.25,10.3,10.1,10.18,NaN,10.3,10.1,10.18,9.865,NaN,NaN,NaN,565996,10.059999999999999,NaN,NaN,64.40729388705763,59.952621041046726,NaN,NaN,NaN,NaN,NaN,NaN
1596461400,10.19,10.22,10.15,10.15,NaN,10.22,10.15,10.15,9.865,9.85147713534429,9.85147713534429,9.85147713534429,195991,10.087999999999997,NaN,NaN,61.924889819603266,60.30389249939737,NaN,NaN,NaN,NaN,NaN,NaN
1597066200,10.11,10.1173,10.06,10.06,NaN,10.1173,10.06,10.06,9.865,9.858920311040146,9.858920311040146,9.858920311040146,20297,10.101999999999999,NaN,NaN,55.06778247605982,60.215266813671754,NaN,NaN,NaN,NaN,NaN,NaN
1597671000,10.06,10.1,9.99,10.015,NaN,10.1,9.99,10.015,9.865,9.863181438002048,9.863181438002048,9.863181438002048,1218778,10.111499999999998,NaN,NaN,51.96911001282803,60.00872972885646,NaN,NaN,51.96911001282803,NaN,NaN,NaN
1598275800,10.04,10.14,10.03,10.09,NaN,10.14,10.03,10.09,9.865,9.864877025365622,9.864877025365622,9.864877025365622,868485,10.1185,NaN,NaN,56.37512263173431,60.11690783110589,NaN,NaN,NaN,NaN,NaN,NaN
1598880600,10.1,10.15,10.05,10.05,NaN,10.15,10.05,10.05,9.864999999999998,9.865161984263494,9.865161984263494,9.865161984263494,284232,10.119499999999999,NaN,NaN,53.5535157787847,60.1913287629098,NaN,NaN,NaN,NaN,NaN,NaN
1599571800,10.08,10.2,10.08,10.1,NaN,10.2,10.08,10.1,9.865,9.865161984263494,9.865161984263494,9.865161984263494,382681,10.107499999999998,NaN,NaN,56.485348628867015,60.233085711007924,NaN,NaN,NaN,NaN,NaN,NaN
1600090200,10.0999,10.2,10.03,10.16,NaN,10.2,10.03,10.16,9.864999999999998,9.865161984263494,9.865161984263494,9.865161984263494,214067,10.113499999999998,NaN,NaN,59.767295301899146,60.509267421465495,NaN,NaN,NaN,NaN,59.767295301899146,NaN
