time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1645021800,69.12,75.8,68.87,74.42,NaN,75.8,68.87,74.42,67.39373036044665,66.86195313406681,66.86195313406681,66.86195313406681,5742090,73.59900000000002,68.98719999999997,NaN,56.318145057586364,57.355782368851685,NaN,NaN,NaN,NaN,NaN,NaN
1645108200,73.75,77.27,73.5,76.19,NaN,77.27,73.5,76.19,67.52973391503372,67.04466438570876,67.04466438570876,67.04466438570876,4559480,73.85800000000002,69.31059999999998,NaN,59.25200618585377,57.496790915080496,NaN,NaN,NaN,NaN,NaN,NaN
1645194600,76.05,76.66,72.54,73.27,NaN,76.66,72.54,73.27,67.6732541296034,67.22434478920843,67.22434478920843,67.22434478920843,3062126,73.67900000000002,69.57399999999998,NaN,52.93546305935441,57.55779840675232,NaN,NaN,NaN,NaN,NaN,NaN
1645540200,75.84,76.79,72.73,73.83,NaN,76.79,72.73,73.83,67.84349113472464,67.39878065508162,67.39878065508162,67.39878065508162,4612648,73.81600000000002,69.88019999999997,NaN,53.94937855490848,57.01785774767226,NaN,NaN,NaN,NaN,NaN,NaN
1645626600,73.415,75.63,73.415,74.48,NaN,75.63,73.415,74.48,68.02234962154972,67.56526402388744,67.56526402388744,67.56526402388744,3430306,73.94100000000002,70.14639999999997,NaN,55.15695079021578,56.55379113401634,NaN,NaN,NaN,NaN,NaN,NaN
1645713000,77.08,79.81,75.69,78.56,NaN,79.81,75.69,78.56,69.20213584280278,67.8840922225515,67.8840922225515,67.8840922225515,6971186,74.49300000000002,70.49319999999997,NaN,61.90894571077196,56.73745938551969,NaN,NaN,NaN,NaN,NaN,NaN
1645799400,78.08,79.81,75.29,79.5,NaN,79.81,75.29,79.5,69.95611182574609,68.29335639741636,68.29335639741636,68.29335639741636,4681060,75.06700000000002,70.83839999999998,NaN,63.28072256712768,56.850754580671186,NaN,NaN,NaN,NaN,NaN,NaN
1646058600,80.17,81.22,79.29,81.19,NaN,81.22,79.29,81.19,71.01916254797001,68.84620457479848,68.84620457479848,68.84620457479848,6488182,75.51200000000001,71.19099999999997,NaN,65.67417600879534,57.57588192748506,NaN,NaN,NaN,NaN,NaN,NaN
1646145000,81.96,84.7,80.98,82.35,NaN,84.7,80.98,82.35,71.85448604821397,69.49865262633404,69.49865262633404,69.49865262633404,4542949,76.60100000000001,71.55179999999997,NaN,67.25204523884096,58.31547898563823,NaN,NaN,NaN,NaN,NaN,NaN
1646231400,84,86.42,83.18,84.69,NaN,86.42,83.18,84.69,73.31392004681211,70.33427036384258,70.33427036384258,70.33427036384258,4422723,77.84800000000001,71.94939999999997,NaN,70.22534891787001,59.30057669229923,NaN,NaN,NaN,NaN,NaN,NaN
1646317800,85.13,87.99,84.2,87.1,NaN,87.99,84.2,87.1,74.80478038390369,71.33700540714159,71.33700540714159,71.33700540714159,5754203,79.11600000000001,72.40859999999996,NaN,72.94941487404877,60.380084221509364,NaN,NaN,NaN,NaN,NaN,NaN
1646404200,86.82,91.89,86.49,91.25,NaN,91.89,86.49,91.25,77.16323118662658,72.61887674412063,72.61887674412063,72.61887674412063,8091616,80.62200000000001,72.86179999999996,NaN,76.87317685354893,61.36197954134222,NaN,NaN,NaN,NaN,NaN,NaN
1646663400,92.02,100.52,91.96,95.69,NaN,100.52,91.96,95.69,79.66771688400702,74.17391832382295,74.17391832382295,74.17391832382295,9925242,82.86400000000002,73.34099999999998,NaN,80.18482024349099,63.45141554915482,NaN,NaN,NaN,NaN,80.18482024349099,NaN
