time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1741363200,75.8,76.3,75.42,75.6,NaN,76.3,75.42,75.6,78.01765087476399,78.05573417743966,78.05573417743966,78.05573417743966,47251,76.78700000000015,76.72760000000028,NaN,41.213170135531826,51.281435191249514,NaN,NaN,41.213170135531826,NaN,NaN,NaN
1741365000,75.57,76.49,75.56,76.47,NaN,76.49,75.56,76.47,77.91502204087529,78.03194284152862,78.03194284152862,78.03194284152862,14461,76.75300000000016,76.65720000000027,NaN,48.06483170515266,50.54624447249169,NaN,NaN,NaN,NaN,NaN,NaN
1741366800,76.42,76.75,76.21,76.75,NaN,76.75,76.21,76.75,77.73024505975786,77.97902888725793,77.97902888725793,77.97902888725793,12523,76.77200000000015,76.60620000000027,NaN,50.081349953644775,50.39040411553361,NaN,NaN,NaN,NaN,NaN,NaN
1741368600,76.68,77.25,76.65,76.98,NaN,77.25,76.65,76.98,77.51999575979167,77.89359780602095,77.89359780602095,77.89359780602095,13165,76.79500000000016,76.56960000000028,NaN,51.73899471463732,50.29998139168765,NaN,NaN,NaN,NaN,NaN,NaN
1741370400,77.03,77.29,77,77.06,NaN,77.29,77,77.06,77.519968101888,77.81062584692738,77.81062584692738,77.81062584692738,6982,76.84500000000017,76.53800000000028,NaN,52.33192425558281,50.52389267257961,NaN,NaN,NaN,NaN,NaN,NaN
1741372200,77.08,77.36,76.88,77.3,NaN,77.36,76.88,77.3,77.51960096866992,77.73275853347455,77.73275853347455,77.73275853347455,8321,76.88800000000016,76.52340000000028,NaN,54.1517726559233,50.78176669062147,NaN,NaN,NaN,NaN,NaN,NaN
1741374000,77.34,77.77,77.32,77.63,NaN,77.77,77.32,77.63,77.51637689356794,77.66307181854036,77.66307181854036,77.66307181854036,6617,76.99100000000017,76.51900000000028,NaN,56.60498325464691,51.402438957277816,NaN,NaN,NaN,NaN,56.60498325464691,NaN
1741375800,77.68,77.77,77.41,77.44,NaN,77.77,77.41,77.44,77.49877852838766,77.60288198946245,77.60288198946245,77.60288198946245,6900,76.91700000000017,76.50900000000026,NaN,54.787306806497675,51.74152591086237,NaN,NaN,NaN,NaN,NaN,NaN
1741377600,77.43,77.7,77.36,77.36,NaN,77.7,77.36,77.36,77.43439827262152,77.54738328524064,77.54738328524064,77.54738328524064,8624,76.82800000000017,76.52940000000027,NaN,54.001012937226186,52.17485214038169,NaN,NaN,NaN,NaN,NaN,NaN
1741379400,77.36,77.46,77.07,77.13,NaN,77.46,77.07,77.13,77.26934782737052,77.48119135376808,77.48119135376808,77.48119135376808,50521,76.97200000000016,76.53920000000026,NaN,51.70355345102468,52.1880367259357,NaN,NaN,51.70355345102468,NaN,NaN,NaN
