time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1746473400,82.83,83.09,82.74,82.86,NaN,83.09,82.74,82.86,83.63,83.69782616014815,83.69782616014815,83.69782616014815,111667,82.54499999999982,83.59299999999972,NaN,46.77605344517016,37.48737356226536,NaN,NaN,NaN,NaN,46.77605344517016,NaN
1746538200,82.47,82.48,80.64,80.72,NaN,82.48,80.64,80.72,82.91499999999999,83.55883192309986,83.55883192309986,83.55883192309986,143460,82.40199999999982,83.51999999999973,NaN,22.925998754356087,36.250842803756164,NaN,NaN,NaN,NaN,NaN,NaN
1746540000,80.72,80.98,80.48,80.84,NaN,80.98,80.48,80.84,82.915,83.42589458363136,83.42589458363136,83.42589458363136,121252,82.25299999999982,83.44219999999972,NaN,25.22826433249665,35.59488982598747,NaN,NaN,NaN,NaN,NaN,NaN
1746541800,80.82,80.87,80.39,80.72,NaN,80.87,80.39,80.72,82.91499999999999,83.30180247517538,83.30180247517538,83.30180247517538,103048,82.07699999999981,83.36359999999972,NaN,24.441999363945584,35.00421518748625,NaN,NaN,NaN,NaN,NaN,NaN
1746543600,80.74,80.81,80.565,80.64,NaN,80.81,80.565,80.64,82.875,83.18371117921663,83.18371117921663,83.18371117921663,61607,81.89549999999981,83.28139999999972,NaN,23.9070641052366,34.50490435374894,NaN,NaN,NaN,NaN,NaN,NaN
1746545400,80.65,80.66,80.1,80.34,NaN,80.66,80.1,80.34,82.725,83.05773318959912,83.05773318959912,83.05773318959912,82419,81.69549999999981,83.19319999999972,NaN,21.965624019880366,34.062151361224146,NaN,NaN,NaN,NaN,NaN,NaN
1746547200,80.36,80.55,80.07,80.12,NaN,80.55,80.07,80.12,82.615,82.93364238146815,82.93364238146815,82.93364238146815,63728,81.46349999999981,83.09909999999972,NaN,20.641796663486915,33.20735978818864,NaN,NaN,NaN,NaN,NaN,NaN
1746549000,80.12,80.13,79.5,79.7,NaN,80.13,79.5,79.7,82.40499999999999,82.79881746174968,82.79881746174968,82.79881746174968,129690,81.15649999999981,82.99429999999973,NaN,18.366092211275372,31.93679020002771,NaN,NaN,NaN,NaN,NaN,NaN
1746550800,79.7,79.83,79.4,79.41,NaN,79.83,79.4,79.41,82.25999999998957,82.66590160720011,82.66590160720011,82.66590160720011,72730,80.81849999999982,82.88849999999974,NaN,16.974539222254748,30.590979561545932,NaN,NaN,NaN,NaN,NaN,NaN
1746552600,79.41,79.47,78.76,78.84,NaN,79.47,78.76,78.84,81.97499999547365,82.51178104036103,82.51178104036103,82.51178104036103,119672,80.41899999999981,82.77099999999973,NaN,14.628457837818658,29.190885716789644,NaN,NaN,14.628457837818658,NaN,NaN,NaN
1746554400,78.84,78.94,78.76,78.89,NaN,78.94,78.76,78.89,81.97499974289254,82.37761811962858,82.37761811962858,82.37761811962858,91125,80.0219999999998,82.65659999999973,NaN,15.72874081691026,27.68231518522248,NaN,NaN,NaN,NaN,NaN,NaN
1746556200,78.89,78.92,78.59,78.77,NaN,78.92,78.59,78.77,81.93999405874224,82.25411748234379,82.25411748234379,82.25411748234379,94084,79.8269999999998,82.52979999999972,NaN,15.22169160517376,25.578322395572094,NaN,NaN,NaN,NaN,NaN,NaN
