time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1746473400,62.17,62.34,61.92,61.95,NaN,62.34,61.92,61.95,59.68000000000011,59.68016198426351,59.68016198426351,59.68016198426351,120264,62.25449999999978,60.956899999999976,NaN,49.30849152849804,56.773156900765386,NaN,NaN,NaN,NaN,NaN,NaN
1746538200,60.25,61.1,59.97,60.45,NaN,61.1,59.97,60.45,59.68000000469256,59.68016198501003,59.68016198501003,59.68016198501003,124690,62.09099999999978,61.03169999999998,NaN,32.27864191835097,54.86410777763063,NaN,NaN,32.27864191835097,NaN,NaN,NaN
1746540000,60.49,61.4,60.43,61.1,NaN,61.4,60.43,61.1,59.680000937500125,59.680162134150905,59.680162134150905,59.680162134150905,39153,61.99899999999978,61.11229999999998,NaN,41.67856087242117,53.861298964045204,NaN,NaN,NaN,NaN,NaN,NaN
1746541800,61.115,61.33,60.93,61.26,NaN,61.33,60.93,61.26,59.680040113289394,59.68016851514934,59.68016851514934,59.68016851514934,38450,61.91699999999978,61.19529999999999,NaN,43.74834505515507,53.055465896984025,NaN,NaN,NaN,NaN,NaN,NaN
1746543600,61.25,61.48,61.08,61.28,NaN,61.48,61.08,61.28,59.68065039793077,59.6802719620553,59.6802719620553,59.6802719620553,24779,61.82299999999979,61.28529999999998,NaN,44.01580390609765,52.185536172301774,NaN,NaN,NaN,NaN,NaN,NaN
1746545400,61.3,61.45,61.16,61.28,NaN,61.45,61.16,61.28,59.6883219058413,59.68159540920937,59.68159540920937,59.68159540920937,18843,61.72199999999979,61.36929999999998,NaN,44.01580390609765,51.365366513092575,NaN,NaN,NaN,NaN,NaN,NaN
1746547200,61.34,61.84,61.19,61.34,NaN,61.84,61.19,61.34,59.731826242190294,59.68983374905481,59.68983374905481,59.68983374905481,32104,61.60899999999979,61.45289999999997,NaN,44.92687447241009,50.685272015232606,NaN,NaN,NaN,NaN,NaN,NaN
1746549000,61.33,61.45,60.93,60.94,NaN,61.45,60.93,60.94,59.850536315660676,59.71690505841041,59.71690505841041,59.71690505841041,24317,61.434999999999775,61.52189999999998,61.434999999999775,40.22688971884408,49.609400760704865,NaN,NaN,NaN,NaN,NaN,NaN
1746550800,60.95,61.18,60.8,60.9,NaN,61.18,60.8,60.9,60.011266800992736,59.76926776066795,59.76926776066795,59.76926776066795,26420,61.26899999999978,61.588499999999975,NaN,39.77873712171619,48.3599430661581,NaN,NaN,39.77873712171619,NaN,NaN,NaN
1746552600,60.91,61.07,60.835,60.93,NaN,61.07,60.835,60.93,60.02421853776992,59.822701212519064,59.822701212519064,59.822701212519064,27370,61.14299999999978,61.65489999999998,NaN,40.31578731689723,47.07769105414534,NaN,NaN,NaN,NaN,NaN,NaN
1746554400,60.95,61.42,60.95,61.37,NaN,61.42,60.95,61.37,60.04537916186137,59.877020860043714,59.877020860043714,59.877020860043714,25660,61.08499999999977,61.73069999999998,NaN,47.68479570387408,46.141017242717865,NaN,NaN,NaN,NaN,NaN,NaN
1746556200,61.38,61.61,61.34,61.61,NaN,61.61,61.34,61.61,60.06523519689654,59.92984067301689,59.92984067301689,59.92984067301689,28238,61.20099999999978,61.79609999999998,NaN,51.222430420494206,45.25877910215202,NaN,NaN,NaN,NaN,51.222430420494206,NaN
1746558000,61.59,61.67,61.45,61.6,NaN,61.67,61.45,61.6,60.12394666770678,59.98482662943825,59.98482662943825,59.98482662943825,41761,61.250999999999785,61.828899999999976,NaN,51.06747638184832,44.55506306957564,NaN,NaN,NaN,NaN,NaN,NaN
1746559800,61.6,61.83,61.15,61.21,NaN,61.83,61.15,61.21,60.23447195226217,60.047932950015856,60.047932950015856,60.047932950015856,200554,61.24599999999979,61.82969999999998,NaN,45.31054215263851,43.9699414625245,NaN,NaN,NaN,NaN,NaN,NaN
1746624600,55.29,55.635,53.775,55.62,NaN,55.635,53.775,55.62,59.46,59.97693029967858,59.97693029967858,59.97693029967858,1271517,60.67999999999978,61.715299999999985,NaN,16.535980730785383,41.629047834116456,NaN,NaN,NaN,NaN,NaN,NaN
1746626400,55.615,55.76,54.99,55.34,NaN,55.76,54.99,55.34,59.32,59.8730105124096,59.8730105124096,59.8730105124096,460319,60.085999999999785,61.59009999999999,NaN,15.988281480247721,40.46545065996622,NaN,NaN,NaN,NaN,NaN,NaN
1746628200,55.34,55.34,54.23,54.57,NaN,55.34,54.23,54.57,58.934999999999995,59.70080915776592,59.70080915776592,59.70080915776592,306539,59.408999999999786,61.465499999999984,NaN,14.560068474029649,38.528415488652534,NaN,NaN,14.560068474029649,NaN,NaN,NaN
1746630000,54.56,54.915,54.27,54.9,NaN,54.915,54.27,54.9,58.934999999999945,59.52840898656346,59.52840898656346,59.52840898656346,167208,58.804999999999794,61.346899999999984,NaN,17.943161026465006,36.68518805803182,NaN,NaN,NaN,NaN,NaN,NaN
1746631800,54.89,54.99,54.16,54.35,NaN,54.99,54.16,54.35,58.82499999998278,59.34717820266351,59.34717820266351,59.34717820266351,195381,58.149999999999785,61.21869999999999,NaN,16.75255654492983,34.73781324651983,NaN,NaN,NaN,NaN,NaN,NaN
1746633600,54.34,54.67,54.14,54.44,NaN,54.67,54.14,54.44,58.8249999989932,59.18406433127017,59.18406433127017,59.18406433127017,246556,57.500999999999785,61.08709999999999,NaN,17.714733917609024,32.859165390199216,NaN,NaN,NaN,NaN,NaN,NaN
1746635400,54.44,54.82,54.33,54.69,NaN,54.82,54.33,54.69,58.82499998226525,59.04859817208222,59.04859817208222,59.04859817208222,142572,56.83299999999978,60.95789999999999,NaN,20.46469389884541,31.11186677780174,NaN,NaN,NaN,NaN,NaN,NaN
1746637200,54.67,55.48,54.51,55.12,NaN,55.48,54.51,55.12,58.82499983611257,58.94800253212588,58.94800253212588,58.94800253212588,219824,56.18399999999978,60.83469999999999,NaN,25.101214580767532,30.031461410796272,NaN,NaN,NaN,NaN,NaN,NaN
1746639000,55.13,55.3,54.75,54.87,NaN,55.3,54.75,54.87,58.82499897897025,58.88385276402626,58.88385276402626,58.88385276402626,117207,55.510999999999775,60.70189999999999,NaN,24.217292332400433,28.919929640130864,NaN,NaN,NaN,NaN,NaN,NaN
1746640800,54.84,55.07,54.25,54.86,NaN,55.07,54.25,54.86,58.82499510765228,58.84971869569427,58.84971869569427,58.84971869569427,223470,54.87599999999977,60.568899999999985,NaN,24.180612166180822,27.767417129365406,NaN,NaN,NaN,NaN,NaN,NaN
1746642600,54.865,55.4,54.54,55.26,NaN,55.4,54.54,55.26,58.82498299786077,58.83372200870354,58.83372200870354,58.83372200870354,236304,54.83999999999977,60.45489999999999,NaN,28.82449187642638,26.420252570261997,NaN,NaN,NaN,NaN,NaN,NaN
1746644400,55.26,55.64,55.04,55.07,NaN,55.64,55.04,55.07,58.82495035376619,58.82753242633259,58.82753242633259,58.82753242633259,198162,54.812999999999775,60.31249999999998,NaN,27.94881793559381,24.757851678483398,NaN,NaN,NaN,NaN,NaN,NaN
1746646200,55.08,56.45,54.95,56.305,NaN,56.45,54.95,56.305,58.824878332386696,58.82547952798225,58.82547952798225,58.82547952798225,660727,54.986499999999765,60.18859999999999,NaN,40.58401708826846,24.00903315751341,NaN,NaN,NaN,NaN,NaN,NaN
1746711000,58.055,58.07,56.7,57.54,NaN,58.07,56.7,57.54,58.824742256117474,58.82509072125035,58.82509072125035,58.82509072125035,239296,55.25049999999976,60.09289999999998,NaN,50.02246341478433,24.345598961952398,NaN,NaN,NaN,NaN,NaN,NaN
1746712800,57.53,58.28,57.47,57.895,NaN,58.28,57.47,57.895,58.824521421162764,58.825015972961616,58.825015972961616,58.825015972961616,276691,55.604999999999755,59.99919999999998,NaN,52.364913068750354,26.904808414664185,NaN,NaN,NaN,NaN,NaN,NaN
1746714600,57.9,58.02,57.05,57.15,NaN,58.02,57.05,57.15,58.82407606807438,58.82487252292823,58.82487252292823,58.82487252292823,151673,55.87599999999976,59.88839999999998,NaN,47.34932547700102,29.144882985860846,NaN,NaN,NaN,NaN,NaN,NaN
1746716400,57.13,58.03,56.99,57.79,NaN,58.03,56.99,57.79,58.82325098599535,58.82460239640186,58.82460239640186,58.82460239640186,169426,56.185999999999765,59.784399999999984,NaN,51.63501653251625,31.793093561467032,NaN,NaN,NaN,NaN,NaN,NaN
1746718200,57.84,58.57,57.71,58.34,NaN,58.57,57.71,58.34,58.821470333565884,58.82405817855382,58.82405817855382,58.82405817855382,178951,56.507999999999754,59.68519999999999,NaN,55.0232431983471,34.441670859458604,NaN,NaN,NaN,NaN,NaN,NaN
1746720000,58.34,58.88,58.32,58.48,NaN,58.88,58.32,58.48,58.8185203192363,58.823062505339486,58.823062505339486,58.823062505339486,99696,56.86899999999976,59.59379999999998,NaN,55.870701743873155,37.23582408795456,NaN,NaN,NaN,NaN,NaN,NaN
1746721800,58.49,59.03,58.46,58.815,NaN,59.03,58.46,58.815,58.81351939756887,58.82130562881309,58.82130562881309,58.82130562881309,95357,57.26449999999975,59.518499999999975,NaN,57.91416902641686,40.107212310012265,NaN,NaN,NaN,NaN,57.91416902641686,NaN
1746723600,58.81,58.88,58.5,58.58,NaN,58.88,58.5,58.58,58.80550531101669,58.81833882739736,58.81833882739736,58.81833882739736,61412,57.59649999999975,59.433999999999976,NaN,55.956675605593276,42.642353860494254,NaN,NaN,NaN,NaN,NaN,NaN
1746725400,58.57,58.76,58.33,58.36,NaN,58.76,58.33,58.36,58.79287640602628,58.81348261805942,58.81348261805942,58.81348261805942,82294,57.92549999999975,59.34519999999998,NaN,54.112704039153,44.71460310752179,NaN,NaN,NaN,NaN,NaN,NaN
1746727200,58.35,58.55,58.21,58.38,NaN,58.55,58.21,58.38,58.77392633178474,58.80582495899848,58.80582495899848,58.80582495899848,50478,58.132999999999754,59.26199999999997,NaN,54.2602705824955,46.86053012538572,NaN,NaN,NaN,NaN,NaN,NaN
1746729000,58.365,58.67,58.365,58.47,NaN,58.67,58.365,58.47,58.7455584416964,58.79402124280666,58.79402124280666,58.79402124280666,62651,58.22599999999975,59.184999999999974,NaN,54.96216237786121,49.059212283362896,NaN,NaN,NaN,NaN,NaN,NaN
1746730800,58.475,58.6,58.22,58.48,NaN,58.6,58.22,58.48,58.70623661596008,58.77657106738329,58.77657106738329,58.77657106738329,115977,58.28449999999975,59.11299999999997,NaN,55.044709048480925,50.93208493850965,NaN,NaN,NaN,NaN,NaN,NaN
1746732600,58.49,58.59,57.44,57.63,NaN,58.59,57.44,57.63,58.654991142380005,58.75194570169083,58.75194570169083,58.75194570169083,397598,58.33249999999974,59.02499999999997,NaN,47.136424675415945,52.30262827706837,NaN,NaN,47.136424675415945,NaN,NaN,NaN
1746797400,59.79,60.86,59.575,60.47,NaN,60.86,59.575,60.47,58.591863636340925,58.718792992871116,58.718792992871116,58.718792992871116,363424,58.60049999999975,58.99179999999997,NaN,65.15146723608973,54.05744614476989,NaN,NaN,NaN,NaN,65.15146723608973,NaN
1746799200,60.48,60.57,59.42,59.485,NaN,60.57,59.42,59.485,58.55540592881712,58.68210789106727,58.68210789106727,58.68210789106727,235459,58.71499999999975,58.93979999999997,NaN,57.79496548674551,54.612624864195695,NaN,NaN,NaN,NaN,NaN,NaN
1746801000,59.475,60.2,59.14,60.085,NaN,60.2,59.14,60.085,58.54416676365352,58.64688447950933,58.64688447950933,58.64688447950933,244633,58.87549999999975,58.90109999999997,NaN,60.70553655584697,55.20838368470259,NaN,NaN,NaN,NaN,NaN,NaN
1746802800,60.1,60.46,59.65,59.65,NaN,60.46,59.65,59.65,58.53014156052807,58.613793322593764,58.613793322593764,58.613793322593764,111319,58.95899999999974,58.85249999999997,58.95899999999974,57.603916132155,55.94085444578502,NaN,NaN,NaN,NaN,NaN,NaN
1746804600,59.64,59.92,59.56,59.87,NaN,59.92,59.56,59.87,58.514996912677596,58.58368995448139,58.58368995448139,58.58368995448139,57411,59.08799999999974,58.80549999999997,NaN,58.75176271836468,56.449193459059906,NaN,NaN,NaN,NaN,NaN,NaN
1746806400,59.88,59.93,59.39,59.48,NaN,59.93,59.39,59.48,58.51498505854478,58.55968987760576,58.55968987760576,58.55968987760576,64906,59.19999999999974,58.74929999999997,NaN,55.86428299630297,56.509267730342465,NaN,NaN,NaN,NaN,NaN,NaN
1746808200,59.46,59.7,59.35,59.5,NaN,59.7,59.35,59.5,58.51495016019004,58.54195524030334,58.54195524030334,58.54195524030334,44630,59.31199999999974,58.68989999999997,NaN,55.983753616397514,56.5173428640942,NaN,NaN,NaN,NaN,NaN,NaN
1746810000,59.5,59.68,59.3,59.55,NaN,59.68,59.3,59.55,58.51483686760997,58.52996810998179,58.52996810998179,58.52996810998179,49996,59.419999999999746,58.62729999999997,NaN,56.30221374024869,56.40220320079648,NaN,NaN,NaN,NaN,NaN,NaN
1746811800,59.57,59.85,59.49,59.78,NaN,59.85,59.49,59.78,58.51456570466936,58.522593626949835,58.522593626949835,58.522593626949835,30098,59.54999999999974,58.57169999999997,NaN,57.81421013527746,56.53488423863107,NaN,NaN,NaN,NaN,NaN,NaN
1746813600,59.77,59.78,59.45,59.48,NaN,59.78,59.45,59.48,58.5139606098318,58.51835988779388,58.51835988779388,58.51835988779388,29137,59.734999999999744,58.51749999999997,NaN,55.134470323843956,56.60786754468042,NaN,NaN,55.134470323843956,NaN,NaN,NaN
1746815400,59.47,59.66,59.46,59.61,NaN,59.66,59.46,59.61,58.51254266870304,58.51585681107907,58.51585681107907,58.51585681107907,21699,59.64899999999974,58.47069999999997,NaN,56.08438325338092,56.73816130688652,NaN,NaN,NaN,NaN,NaN,NaN
1746817200,59.62,59.79,59.51,59.58,NaN,59.79,59.51,59.58,58.5090382288219,58.51394314398309,58.51394314398309,58.51394314398309,43012,59.65849999999974,58.45329999999997,NaN,55.790823605468404,56.79735139457274,NaN,NaN,NaN,NaN,NaN,NaN
1746819000,59.59,59.72,59.45,59.63,NaN,59.72,59.45,59.63,58.50201990949647,58.51158685352925,58.51158685352925,58.51158685352925,103343,59.61299999999974,58.42389999999997,NaN,56.20229457604835,56.880036075113274,NaN,NaN,NaN,NaN,NaN,NaN
