time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1568035800,45,46.9,44.5335,45.09,NaN,46.9,44.5335,45.09,60.217070523645624,61.83122549855765,61.83122549855765,61.83122549855765,47056623,47.49199999999999,60.19640000000007,NaN,33.62739634857424,32.39585208798013,NaN,NaN,NaN,NaN,NaN,NaN
1568640600,47.61,48.85,44.4,45.7,NaN,48.85,44.4,45.7,59.95517761586011,61.24491408103915,61.24491408103915,61.24491408103915,68713583,46.88999999999999,59.48240000000007,NaN,35.35940108618257,32.84563294767395,NaN,NaN,NaN,NaN,35.35940108618257,NaN
1569245400,45.36,45.94,44.4116,45.14,NaN,45.94,44.4116,45.14,59.73262193901508,60.742190143895655,60.742190143895655,60.742190143895655,27761098,46.17099999999999,58.84600000000007,NaN,34.470106353530056,33.005852041793375,NaN,NaN,NaN,NaN,NaN,NaN
1569850200,45,45.42,42.26,43.07,NaN,45.42,42.26,43.07,59.39786302516444,60.31402796045989,60.31402796045989,60.31402796045989,28665929,45.318999999999996,58.26380000000007,NaN,31.333127656045633,32.969735831282925,NaN,NaN,NaN,NaN,NaN,NaN
1570455000,42.9,43.04,40.445,41.12,NaN,43.04,40.445,41.12,58.45182685065229,59.855353750436244,59.855353750436244,59.855353750436244,38575554,44.312999999999995,57.728000000000065,NaN,28.684811132886637,32.83049002740414,NaN,NaN,NaN,NaN,NaN,NaN
1571059800,41.03,41.31,39.97,40.45,NaN,41.31,39.97,40.45,57.79433013133946,59.387623494695305,59.387623494695305,59.387623494695305,38444076,43.644999999999996,57.17080000000007,NaN,27.814912370774294,32.18110267149116,NaN,NaN,27.814912370774294,NaN,NaN,NaN
1571664600,40.57,43.1,40.285,42.53,NaN,43.1,40.285,42.53,57.49711376431329,58.9400353951073,58.9400353951073,58.9400353951073,37771337,43.440999999999995,56.55040000000006,NaN,34.45993968508685,31.89925670910284,NaN,NaN,NaN,NaN,NaN,NaN
1572269400,42.67,42.99,40.11,42.29,NaN,42.99,40.11,42.29,57.22860910879931,58.50364641627682,58.50364641627682,58.50364641627682,38116393,43.43299999999999,55.92860000000007,NaN,34.070216036331345,31.672181307052572,NaN,NaN,NaN,NaN,NaN,NaN
1572877800,42.99,44.615,38.3,40.1,NaN,44.615,38.3,40.1,56.668896634115754,58.03563617238832,58.03563617238832,58.03563617238832,78728825,43.095,55.33400000000007,NaN,30.662471988258332,31.248657546294094,NaN,NaN,NaN,NaN,NaN,NaN
1573482600,39.13,39.34,37.6,38.95,NaN,39.34,37.6,38.95,55.642976432412055,57.47039787269043,57.47039787269043,57.47039787269043,59799457,42.444,54.70760000000006,NaN,29.020966420611686,31.12106189422278,NaN,NaN,NaN,NaN,NaN,NaN
1574087400,39.15,39.94,37.7,39.58,NaN,39.94,37.7,39.58,55.20209503463573,56.90985130695506,56.90985130695506,56.90985130695506,54751231,41.893,54.16840000000006,NaN,31.19410895150935,31.362482226563575,NaN,NaN,NaN,NaN,NaN,NaN
1574692200,39.77,40.57,38.31,38.57,NaN,40.57,38.31,38.57,54.69259738667282,56.35083953126288,56.35083953126288,56.35083953126288,35357455,41.18,53.63780000000006,NaN,29.62798629482525,31.65593647359239,NaN,NaN,NaN,NaN,NaN,NaN
1575297000,38.84,39.16,37.54,39.01,NaN,39.16,37.54,39.01,54.49456060383999,55.84708033198262,55.84708033198262,55.84708033198262,52618428,40.567,53.21840000000007,NaN,31.247401784492396,31.83682175790756,NaN,NaN,NaN,NaN,NaN,NaN
1575901800,38.03,38.81,37.25,37.71,NaN,38.81,37.25,37.71,53.827216679696996,55.323139949099065,55.323139949099065,55.323139949099065,57247495,40.031,52.76320000000006,NaN,29.11554240446732,31.477742036684,NaN,NaN,NaN,NaN,NaN,NaN
1576506600,37.99,39.23,37.98,39.01,NaN,39.23,37.98,39.01,53.592555496428425,54.84509098181366,54.84509098181366,54.84509098181366,57316587,39.82000000000001,52.27920000000007,NaN,33.96718851600066,31.502012905785893,NaN,NaN,NaN,NaN,NaN,NaN
1577111400,39.01,40.58,38.99,40.16,NaN,40.58,38.99,40.16,53.32921141386576,54.410059145525054,54.410059145525054,54.410059145525054,27821077,39.791000000000004,51.75800000000007,NaN,38.009260846743636,31.69128860296882,NaN,NaN,NaN,NaN,NaN,NaN
1577716200,40.25,44.25,40.16,43.61,NaN,44.25,40.16,43.61,53.057460153297214,54.019403565829975,54.019403565829975,54.019403565829975,48760263,39.899,51.28960000000007,NaN,48.24467205132607,32.67518615281139,NaN,NaN,NaN,NaN,NaN,NaN
1578321000,43.98,46.21,43.69,45.9,NaN,46.21,43.69,45.9,52.93722771560457,53.69403564845111,53.69403564845111,53.69403564845111,66265344,40.260000000000005,50.87700000000007,NaN,53.70831758635372,34.27341400497625,NaN,NaN,NaN,NaN,53.70831758635372,NaN
1578925800,46.26,47.58,45.52,45.83,NaN,47.58,45.52,45.83,52.81415021060896,53.423289068738846,53.423289068738846,53.423289068738846,51867362,40.833000000000006,50.43280000000007,NaN,53.52231901248016,36.047521710661506,NaN,NaN,NaN,NaN,NaN,NaN
1579617000,45.37,45.45,41.8402,42.22,NaN,45.45,41.8402,42.22,52.79462568920851,53.21189261650682,53.21189261650682,53.21189261650682,43354799,41.160000000000004,49.97800000000007,NaN,44.888598971411106,37.267070753564134,NaN,NaN,NaN,NaN,NaN,NaN
1580135400,41.02,41.66,39.42,39.72,NaN,41.66,39.42,39.72,52.76525763196685,53.05050170454623,53.05050170454623,53.05050170454623,48711853,41.174,49.42860000000008,NaN,40.068225980536376,37.66766263181053,NaN,NaN,NaN,NaN,NaN,NaN
1580740200,39.7,42.45,39.4403,41.89,NaN,42.45,39.4403,41.89,52.751320311077485,52.9341708204997,52.9341708204997,52.9341708204997,36436202,41.50600000000001,48.94780000000008,NaN,45.53540483876775,38.48660468912742,NaN,NaN,NaN,NaN,NaN,NaN
1581345000,41.49,42.61,40.18,41.6,NaN,42.61,40.18,41.6,52.74961662847093,52.856232026438484,52.856232026438484,52.856232026438484,43066616,41.76500000000001,48.42880000000008,NaN,44.9453211846167,39.506808203153014,NaN,NaN,NaN,NaN,NaN,NaN
1582036200,41.6,43.6,40.98,42.12,NaN,43.6,40.98,42.12,52.74912089642412,52.806661476210415,52.806661476210415,52.806661476210415,33705538,42.206,48.01700000000008,NaN,46.28936883917899,40.740265518764964,NaN,NaN,NaN,NaN,NaN,NaN
1582554600,40.5,40.5521,29.64,32.74,NaN,40.5521,29.64,32.74,50.13201747881317,52.36130170854843,52.36130170854843,52.36130170854843,104972218,41.57900000000001,47.362400000000086,NaN,31.39865175910819,40.75487571930774,NaN,NaN,NaN,NaN,NaN,NaN
