time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1606228200,9.75,9.75,9.7441,9.7441,NaN,9.75,9.7441,9.7441,NaN,NaN,NaN,NaN,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606487400,9.8,9.82,9.8,9.82,NaN,9.82,9.8,9.82,NaN,NaN,NaN,NaN,4516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606746600,9.82,10.8,9.72,9.95,NaN,10.8,9.72,9.95,NaN,NaN,NaN,NaN,53257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606833000,9.8734,9.97,9.8734,9.97,NaN,9.97,9.8734,9.97,NaN,NaN,NaN,NaN,2049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606919400,10.11,10.11,9.97,10.05,NaN,10.11,9.97,10.05,NaN,NaN,NaN,NaN,78540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607005800,10.05,10.05,10.05,10.05,NaN,10.05,10.05,10.05,NaN,NaN,NaN,NaN,1160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607092200,10.04,10.1846,9.99,10.06,NaN,10.1846,9.99,10.06,NaN,NaN,NaN,NaN,84105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607351400,10.1,10.25,10.05,10.2,NaN,10.25,10.05,10.2,NaN,NaN,NaN,NaN,187661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607437800,10.12,10.2,9.9,10.19,NaN,10.2,9.9,10.19,NaN,NaN,NaN,NaN,14329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607524200,10.21,11.39,10.2,10.3,NaN,11.39,10.2,10.3,NaN,NaN,NaN,NaN,213547,10.03341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607610600,10.18,10.25,10.16,10.25,NaN,10.25,10.16,10.25,NaN,NaN,NaN,NaN,268544,10.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607697000,10.35,11.04,10.13,10.35,NaN,11.04,10.13,10.35,NaN,NaN,NaN,NaN,269432,10.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607956200,10.49,11.04,10.14,10.3,NaN,11.04,10.14,10.3,NaN,NaN,NaN,NaN,62784,10.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608042600,10.2237,10.46,10,10.3412,NaN,10.46,10,10.3412,NaN,NaN,NaN,NaN,101231,10.20912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608129000,10.5,10.5665,10.25,10.44,NaN,10.5665,10.25,10.44,NaN,NaN,NaN,NaN,4388,10.24812,NaN,NaN,87.98995523528774,NaN,NaN,NaN,NaN,NaN,87.98995523528774,NaN
1608215400,10.275,10.5,10.2,10.3,NaN,10.5,10.2,10.3,NaN,NaN,NaN,NaN,8234,10.27312,NaN,NaN,75.55294338234776,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608301800,10.2,10.34,10.15,10.34,NaN,10.34,10.15,10.34,NaN,NaN,NaN,NaN,27953,10.301120000000001,NaN,NaN,76.57185720262562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
