time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1737653400,28.87,28.92,28.66,28.91,NaN,28.92,28.66,28.91,27.637500000000003,27.63766198426349,27.63766198426349,27.63766198426349,75855,29.258999999999975,28.023700000000016,NaN,49.07105346884189,53.01640884076915,NaN,NaN,NaN,NaN,NaN,NaN
1737655200,28.92,29.74,28.87,29.47,NaN,29.74,28.87,29.47,27.637500000000003,27.63766198426349,27.63766198426349,27.63766198426349,191987,29.247999999999973,28.111500000000014,NaN,55.66044476745924,53.4063084582736,NaN,NaN,NaN,NaN,NaN,NaN
1737657000,29.49,29.505,29.1,29.27,NaN,29.505,29.1,29.27,27.6375,27.63766198426349,27.63766198426349,27.63766198426349,69519,29.224999999999977,28.195500000000017,NaN,53.02191113269961,53.39316002808074,NaN,NaN,NaN,NaN,NaN,NaN
1737658800,29.25,30.5,29.22,29.99,NaN,30.5,29.22,29.99,27.637500000000003,27.63766198426349,27.63766198426349,27.63766198426349,251681,29.26299999999997,28.29410000000001,NaN,60.31525571425538,53.90683431380183,NaN,NaN,NaN,NaN,NaN,NaN
1737660600,29.99,30.68,29.87,30.54,NaN,30.68,29.87,30.54,27.637500000000006,27.63766198426349,27.63766198426349,27.63766198426349,216891,29.372999999999973,28.412300000000013,NaN,64.80963789303405,54.649465622127856,NaN,NaN,NaN,NaN,NaN,NaN
1737662400,30.53,31.19,30.41,31.13,NaN,31.19,30.41,31.13,27.637500000000003,27.63766198426349,27.63766198426349,27.63766198426349,383514,29.552999999999976,28.534300000000012,NaN,68.88105240551742,55.50084312990342,NaN,NaN,NaN,NaN,NaN,NaN
1737664200,31.11,31.74,30.95,31.58,NaN,31.74,30.95,31.58,27.7875,27.661524877566457,27.661524877566457,27.661524877566457,372640,29.793999999999972,28.670100000000016,NaN,71.58168266613352,56.60196391076803,NaN,NaN,NaN,NaN,NaN,NaN
1737729000,32.035,33.34,31.83,32.6,NaN,33.34,31.83,32.6,28.297499999999996,27.76645009098442,27.76645009098442,27.76645009098442,861431,30.12599999999997,28.8125,NaN,76.54949111019648,57.99447033150985,NaN,NaN,NaN,NaN,76.54949111019648,NaN
1737730800,32.67,32.73,31.45,31.84,NaN,32.73,31.45,31.84,28.2975,27.870635523344607,27.870635523344607,27.870635523344607,464317,30.41799999999997,28.9511,NaN,67.13278056173164,58.847337546937084,NaN,NaN,NaN,NaN,NaN,NaN
1737732600,31.835,31.95,31.11,31.92,NaN,31.95,31.11,31.92,28.2975,27.971819402037152,27.971819402037152,27.971819402037152,302268,30.724999999999973,29.094499999999996,NaN,67.58480983979926,59.820142557760505,NaN,NaN,NaN,NaN,NaN,NaN
1737734400,31.92,32.03,31.46,31.75,NaN,32.03,31.46,31.75,28.297500000000003,28.066125430703714,28.066125430703714,28.066125430703714,145114,31.00899999999997,29.237299999999994,NaN,65.52257474474858,60.775372439517966,NaN,NaN,NaN,NaN,NaN,NaN
1737736200,31.77,31.94,31.15,31.24,NaN,31.94,31.15,31.24,28.297500000000024,28.14864354925333,28.14864354925333,28.14864354925333,166843,31.18599999999997,29.373499999999993,NaN,59.642894269619816,61.22753079902636,NaN,NaN,NaN,NaN,NaN,NaN
