time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1711546200,159.6,160.6278,157.7,160.04,NaN,160.6278,157.7,160.04,195.1593034889699,195.1313165222114,195.1313165222114,195.1313165222114,4698138,158.6559999999999,195.0988000000001,NaN,33.820108825257165,28.98341516847371,NaN,NaN,NaN,NaN,NaN,NaN
1711632600,164.02,165.89,161,161.6,NaN,165.89,161,161.6,195.21423266398696,195.1379622970197,195.1379622970197,195.1379622970197,10106906,158.92399999999992,194.56840000000008,NaN,35.989367328789484,29.593295983976567,NaN,NaN,NaN,NaN,35.989367328789484,NaN
1711978200,161.86,163.75,159.735,160.52,NaN,163.75,159.735,160.52,195.17205008833292,195.1448032296641,195.1448032296641,195.1448032296641,3928834,159.27899999999994,194.04660000000007,NaN,35.13083322622228,30.14441503027766,NaN,NaN,NaN,NaN,NaN,NaN
1712064600,157.5,157.77,155.07,156.19,NaN,157.77,155.07,156.19,194.98765145309315,195.12259756122555,195.12259756122555,195.12259756122555,5615491,159.2669999999999,193.30800000000008,NaN,31.850291442780048,30.469690007867673,NaN,NaN,NaN,NaN,NaN,NaN
1712151000,155.15,155.3,152.53,153.02,NaN,155.3,152.53,153.02,193.34713522082328,194.83944917944,194.83944917944,194.83944917944,6147013,158.79899999999992,192.38680000000008,NaN,29.666179973065198,30.61343898843282,NaN,NaN,NaN,NaN,NaN,NaN
1712237400,153.11,156,150.62,151.34,NaN,156,150.62,151.34,192.4705705580505,194.41795800479693,194.41795800479693,194.41795800479693,6249543,157.62899999999993,191.30200000000005,NaN,28.548841925310725,30.77113584545398,NaN,NaN,28.548841925310725,NaN,NaN,NaN
1712323800,152.48,155.55,152.17,153.86,NaN,155.55,152.17,153.86,192.5386057954619,194.01287820102888,194.01287820102888,194.01287820102888,5120008,157.17599999999993,190.30300000000003,NaN,32.64670772979177,31.275280354769958,NaN,NaN,NaN,NaN,NaN,NaN
1712583000,153.86,155.69,151.69,154.86,NaN,155.69,151.69,154.86,192.5872587720907,193.6333229011839,193.6333229011839,193.6333229011839,2682723,156.75899999999993,189.28000000000003,NaN,34.25800431278735,31.913351000126656,NaN,NaN,NaN,NaN,NaN,NaN
1712669400,155.12,156.895,153.83,155.58,NaN,156.895,153.83,155.58,192.66320297685022,193.3019698154722,193.3019698154722,193.3019698154722,3412176,156.5029999999999,188.34140000000008,NaN,35.45528106752067,32.515131840849534,NaN,NaN,NaN,NaN,NaN,NaN
1712755800,151.6,153.51,151.55,152.97,NaN,153.51,151.55,152.97,192.76597926034634,193.04387459630462,193.04387459630462,193.04387459630462,3602446,155.9979999999999,187.21000000000006,NaN,33.101874559922365,32.4988755624392,NaN,NaN,NaN,NaN,NaN,NaN
