time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1600090200,245,319,215.2396,240,NaN,319,215.2396,240,NaN,NaN,NaN,NaN,55613683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600695000,230,254.8,208.55,229,NaN,254.8,208.55,229,NaN,NaN,NaN,NaN,22073457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601299800,235.93,278.26,227,227.1,NaN,278.26,227,227.1,NaN,NaN,NaN,NaN,21671688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601904600,231.97,252.36,231.2006,238,NaN,252.36,231.2006,238,NaN,NaN,NaN,NaN,8689435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1602509400,250.32,252,231.46,242.52,NaN,252,231.46,242.52,NaN,NaN,NaN,NaN,9176656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603114200,245,301,243,265.05,NaN,301,243,265.05,NaN,NaN,NaN,NaN,17441041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603719000,266.07,276.22,241.5,250.02,NaN,276.22,241.5,250.02,NaN,NaN,NaN,NaN,13174579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604327400,254.1,274.87,247,265,NaN,274.87,247,265,NaN,NaN,NaN,NaN,6331339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604932200,263.99,265.95,229.98,234.8,NaN,265.95,229.98,234.8,NaN,NaN,NaN,NaN,9912897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605537000,234,273.165,230.25,266,NaN,273.165,230.25,266,NaN,NaN,NaN,NaN,8821587,245.74899999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606141800,267.1,334.62,259.1,328.79,NaN,334.62,259.1,328.79,NaN,NaN,NaN,NaN,9298412,254.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606746600,338.38,395.8,288,387.7,NaN,395.8,288,387.7,NaN,NaN,NaN,NaN,39499293,270.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607351400,393.5,429,347.26,353.96,NaN,429,347.26,353.96,NaN,NaN,NaN,NaN,39895676,283.18399999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607956200,352.49,357.9799,303.54,334.25,NaN,357.9799,303.54,334.25,NaN,NaN,NaN,NaN,45616957,292.80899999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608561000,329,359.55,321.3,323.04,NaN,359.55,321.3,323.04,NaN,NaN,NaN,NaN,15515686,300.861,NaN,NaN,62.634654007668445,NaN,NaN,NaN,NaN,NaN,62.634654007668445,NaN
1609165800,324.87,327.79,280.73,281.4,NaN,327.79,280.73,281.4,NaN,NaN,NaN,NaN,17528964,302.496,NaN,NaN,55.11388212612924,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1609770600,285.41,325.72,266.41,300.1,NaN,325.72,266.41,300.1,NaN,NaN,NaN,NaN,40541203,307.504,NaN,NaN,57.57742609140458,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1610375400,295,313.48,286.2056,291.3,NaN,313.48,286.2056,291.3,NaN,NaN,NaN,NaN,18444915,310.13399999999996,NaN,NaN,56.0192682409609,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611066600,293.75,295,279,285.68,NaN,295,279,285.68,NaN,NaN,NaN,NaN,9351037,315.222,NaN,NaN,54.995678101172246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611585000,292.45,296.81,264,272.45,NaN,296.81,264,272.45,NaN,NaN,NaN,NaN,14702300,315.86699999999996,NaN,NaN,52.5608984984242,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1612189800,275.1,318.88,273.38,306.05,NaN,318.88,273.38,306.05,NaN,NaN,NaN,NaN,18030418,313.59299999999996,NaN,NaN,57.68470355350408,NaN,NaN,NaN,NaN,NaN,57.68470355350408,NaN
1612794600,308.71,327.41,292.34,299.47,NaN,327.41,292.34,299.47,NaN,NaN,NaN,NaN,14038908,304.7699999999999,NaN,NaN,56.39998952669081,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1613485800,304.7,304.9876,281.3054,290,NaN,304.9876,281.3054,290,NaN,NaN,NaN,NaN,8259969,298.3739999999999,NaN,NaN,54.518095157204954,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1614004200,287.46,287.77,242.98,259.54,NaN,287.77,242.98,259.54,NaN,NaN,NaN,NaN,15436052,290.9029999999999,NaN,NaN,48.86975334978522,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1614609000,269.3,280.1,217.8197,239.73,NaN,280.1,217.8197,239.73,NaN,NaN,NaN,NaN,47902317,282.57199999999995,NaN,NaN,45.56349641841265,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1615213800,235,241.5479,212.29,230,NaN,241.5479,212.29,230,NaN,NaN,NaN,NaN,31959569,277.4319999999999,NaN,NaN,43.98930828675133,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1615815000,230.98,242.5,215.26,220.82,NaN,242.5,215.26,220.82,NaN,NaN,NaN,NaN,27159525,269.50399999999985,NaN,NaN,42.49748512586971,NaN,NaN,NaN,42.49748512586971,NaN,NaN,NaN
1616419800,220.82,235,205.07,235,NaN,235,205.07,235,NaN,NaN,NaN,NaN,24263715,263.8739999999999,NaN,NaN,45.56821103682827,52.42806068005762,NaN,NaN,NaN,NaN,NaN,NaN
1617024600,230.55,237.59,216.26,236.79,NaN,237.59,216.26,236.79,NaN,NaN,NaN,NaN,14455672,258.9849999999999,NaN,NaN,45.960518770279094,51.237051020244095,NaN,NaN,NaN,NaN,NaN,NaN
1617629400,237.8,242.87,223.73,226.89,NaN,242.87,223.73,226.89,301.77612478848386,NaN,NaN,NaN,16762352,254.42899999999992,NaN,NaN,44.068734176875374,50.44811188101168,NaN,NaN,NaN,NaN,NaN,NaN
