time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1746473400,168.8,169.13,167.71,167.92,NaN,169.13,167.71,167.92,162.32594380061764,162.31335753172075,162.31335753172075,162.31335753172075,47905,169.0695,165.62340000000032,NaN,49.82045350543216,60.64946484559659,NaN,NaN,NaN,NaN,NaN,NaN
1746538200,165.65,167.22,164.5,165.79,NaN,167.22,164.5,165.79,162.3308770478634,162.3224106636239,162.3224106636239,162.3224106636239,20715,168.77450000000002,165.80720000000034,NaN,37.88976215502426,59.21254409181714,NaN,NaN,37.88976215502426,NaN,NaN,NaN
1746540000,165.61,168.28,165.52,167.96,NaN,168.28,165.52,167.96,162.3441417325568,162.32877314064092,162.32877314064092,162.32877314064092,13328,168.6515,166.01640000000035,NaN,50.813041132864534,58.31763557746576,NaN,NaN,NaN,NaN,NaN,NaN
1746541800,167.97,168.74,167.75,168.04,NaN,168.74,167.75,168.04,162.37247828741505,162.33685175538224,162.33685175538224,162.33685175538224,10939,168.5135,166.22100000000034,NaN,51.21603787351577,57.5213001624765,NaN,NaN,NaN,NaN,NaN,NaN
1746543600,168.17,169.3,168.15,169.1,NaN,169.3,168.15,169.1,162.41710906603188,162.35134196926194,162.35134196926194,162.35134196926194,7852,168.4435,166.46180000000032,NaN,56.322392419531845,57.025768363755105,NaN,NaN,NaN,NaN,56.322392419531845,NaN
1746545400,169.15,169.44,168.48,168.53,NaN,169.44,168.48,168.53,162.52348581943573,162.38242034609374,162.38242034609374,162.38242034609374,6628,168.3215,166.68640000000033,NaN,53.10347027675774,56.46260840318673,NaN,NaN,NaN,NaN,NaN,NaN
1746547200,168.59,169.86,168.47,168.76,NaN,169.86,168.47,168.76,162.71547080439763,162.44323506152253,162.44323506152253,162.44323506152253,22259,168.2655,166.9092000000003,NaN,54.23992916599641,55.836869277748924,NaN,NaN,NaN,NaN,NaN,NaN
1746549000,168.76,168.81,167.69,167.69,NaN,168.81,167.69,167.69,162.98367318753563,162.54493522956568,162.54493522956568,162.54493522956568,8802,168.154,167.10650000000035,NaN,48.3676265856393,54.7187074664111,NaN,NaN,NaN,NaN,NaN,NaN
1746550800,167.82,168.19,167.31,167.57,NaN,168.19,167.31,167.57,163.29888028686202,162.69311785134352,162.69311785134352,162.69311785134352,8175,168.006,167.2985000000003,NaN,47.74333963391725,53.435613443340635,NaN,NaN,NaN,NaN,NaN,NaN
1746552600,167.56,167.88,166.9,167.29,NaN,167.88,166.9,167.29,163.3709709769225,162.84586488907252,162.84586488907252,162.84586488907252,5908,167.865,167.49730000000034,NaN,46.243510635499774,52.076325973294615,NaN,NaN,46.243510635499774,NaN,NaN,NaN
