time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1711546200,181.41,181.91,176,179.83,NaN,181.91,176,179.83,189.49415199924084,192.4302269620357,192.4302269620357,192.4302269620357,81804043,172.06300000000016,188.08819999999992,NaN,48.86701576355473,38.166531935114584,NaN,NaN,NaN,NaN,48.86701576355473,NaN
1711632600,177.45,179.57,175.3,175.79,NaN,179.57,175.3,175.79,188.65765366041788,191.41223239985507,191.41223239985507,191.41223239985507,77654838,173.39200000000017,187.29299999999992,NaN,45.271382109609235,38.9971598699396,NaN,NaN,NaN,NaN,NaN,NaN
1711978200,176.17,176.75,170.21,175.22,NaN,176.75,170.21,175.22,187.90420234619495,190.45619439270828,190.45619439270828,190.45619439270828,81562127,174.55700000000016,186.55979999999997,NaN,44.77084864466566,39.593908779718866,NaN,NaN,NaN,NaN,NaN,NaN
1712064600,164.75,167.69,163.43,166.63,NaN,167.69,163.43,166.63,186.95377954300713,189.5262400425914,189.5262400425914,189.5262400425914,116650594,173.84000000000017,185.64859999999993,NaN,37.95950359212652,39.71516899411656,NaN,NaN,37.95950359212652,NaN,NaN,NaN
1712151000,164.02,168.82,163.28,168.38,NaN,168.82,163.28,168.38,186.17081351906572,188.64097774808775,188.64097774808775,188.64097774808775,82950141,173.5460000000002,184.8401999999999,NaN,39.96343547830596,40.33704902973248,NaN,NaN,NaN,NaN,NaN,NaN
1712237400,170.07,177.19,168.01,171.11,NaN,177.19,168.01,171.11,185.52117443257893,187.81129200072115,187.81129200072115,187.81129200072115,123161960,173.09100000000018,184.0795999999999,NaN,43.053611106655694,41.43426425221079,NaN,NaN,NaN,NaN,NaN,NaN
1712323800,169.08,170.86,160.51,164.9,NaN,170.86,160.51,164.9,184.73871087494544,187.00474957967413,187.00474957967413,187.00474957967413,143157603,172.29900000000015,183.22099999999992,NaN,38.23282999617042,42.09170038773613,NaN,NaN,NaN,NaN,NaN,NaN
1712583000,169.34,174.5,167.79,172.98,NaN,174.5,167.79,172.98,184.33084035109914,186.27187503666164,186.27187503666164,186.27187503666164,104423320,172.51400000000018,183.0279999999999,NaN,46.60958092903133,42.537158837512266,NaN,NaN,NaN,NaN,NaN,NaN
1712669400,172.91,179.22,171.92,176.88,NaN,179.22,171.92,176.88,184.0428589322877,185.62634157146087,185.62634157146087,185.62634157146087,103232675,172.93900000000016,182.90059999999994,NaN,50.12546607088882,43.34927539763288,NaN,NaN,NaN,NaN,50.12546607088882,NaN
1712755800,173.04,174.93,170.01,171.76,NaN,174.93,170.01,171.76,183.6154596752764,185.04130714612765,185.04130714612765,185.04130714612765,84532407,172.34800000000016,182.51719999999995,NaN,45.85614399519367,43.5493573874691,NaN,NaN,NaN,NaN,NaN,NaN
1712842200,172.55,175.88,168.51,174.6,NaN,175.88,168.51,174.6,183.4027544281994,184.54439246770502,184.54439246770502,184.54439246770502,94515987,171.82500000000016,182.17739999999995,NaN,48.47752572824673,44.08164431143263,NaN,NaN,NaN,NaN,NaN,NaN
1712928600,172.34,173.8099,170.3644,171.05,NaN,173.8099,170.3644,171.05,183.20321645503608,184.12865167785947,184.12865167785947,184.12865167785947,64722669,171.35100000000017,181.85259999999994,NaN,45.51135882008248,44.502715639895094,NaN,NaN,NaN,NaN,NaN,NaN
1713187800,170.24,170.69,161.38,161.48,NaN,170.69,161.38,161.48,182.45996426809353,183.6952799634424,183.6952799634424,183.6952799634424,100245310,169.97700000000017,181.30499999999995,NaN,38.64647360797478,44.29379954341086,NaN,NaN,NaN,NaN,NaN,NaN
1713274200,156.742,158.19,153.75,157.11,NaN,158.19,153.75,157.11,180.0210034950751,182.95972314238446,182.95972314238446,182.95972314238446,96999956,169.0250000000002,180.68899999999996,NaN,35.97776108528288,43.5230669234135,NaN,NaN,NaN,NaN,NaN,NaN
1713360600,157.64,158.33,153.78,155.45,NaN,158.33,153.78,155.45,178.8766472147224,182.11586323578564,182.11586323578564,182.11586323578564,82439718,167.7320000000002,180.17679999999996,NaN,34.989346628327525,42.53180484232583,NaN,NaN,NaN,NaN,NaN,NaN
1713447000,151.25,152.2,148.7,149.93,NaN,152.2,148.7,149.93,175.74151137143542,180.84343973894116,180.84343973894116,180.84343973894116,96098830,165.6140000000002,179.47339999999997,NaN,31.855320535486726,41.57351472988852,NaN,NaN,NaN,NaN,NaN,NaN
1713533400,148.97,150.94,146.22,147.05,NaN,150.94,146.22,147.05,174.03878588902649,179.3797341856878,179.3797341856878,179.3797341856878,87074500,163.8290000000002,178.66279999999998,NaN,30.3289424051043,40.54194999849128,NaN,NaN,NaN,NaN,NaN,NaN
1713792600,140.56,144.44,138.8025,142.05,NaN,144.44,138.8025,142.05,171.1606002905252,177.5661137280939,177.5661137280939,177.5661137280939,107097564,160.7360000000002,177.71259999999998,NaN,27.8352784615371,39.81879106059204,NaN,NaN,27.8352784615371,NaN,NaN,NaN
1713879000,143.33,147.26,141.11,144.68,NaN,147.26,141.11,144.68,170.8786471193093,175.86039762588734,175.86039762588734,175.86039762588734,124545104,157.5160000000002,176.7348,NaN,31.046762366508375,39.18188583832078,NaN,NaN,NaN,NaN,NaN,NaN
1713965400,162.84,167.97,157.51,162.13,NaN,167.97,157.51,162.13,170.8114941713172,174.35266785019923,174.35266785019923,174.35266785019923,181178020,156.5530000000002,176.2148,NaN,47.68279344072429,39.512541719325675,NaN,NaN,NaN,NaN,NaN,NaN
1714051800,158.96,170.88,158.36,170.18,NaN,170.88,158.36,170.18,170.62976383744166,173.07914293880395,173.07914293880395,173.07914293880395,126427521,156.1110000000002,175.938,NaN,53.28243687536896,40.58751363926843,NaN,NaN,NaN,NaN,NaN,NaN
1714138200,168.85,172.12,166.37,168.29,NaN,172.12,166.37,168.29,170.32464958143225,172.0536720287281,172.0536720287281,172.0536720287281,109815725,155.8350000000002,175.5296,NaN,51.8784802871896,40.963863593422595,NaN,NaN,NaN,NaN,NaN,NaN
1714397400,188.42,198.87,184.54,194.05,NaN,198.87,184.54,194.05,171.70677061142223,171.5427082116795,171.5427082116795,171.5427082116795,243869678,159.0920000000002,175.4016,NaN,65.29924498700748,42.047704944573915,NaN,NaN,NaN,NaN,65.29924498700748,NaN
1714483800,186.98,190.95,182.8401,183.28,NaN,190.95,182.8401,183.28,171.39399798078543,171.24028961648796,171.24028961648796,171.24028961648796,127031787,161.7090000000002,175.0682,NaN,58.014281582777556,42.91614334368705,NaN,NaN,NaN,NaN,NaN,NaN
1714570200,182,185.86,179.01,179.99,NaN,185.86,179.01,179.99,171.20002591818522,171.10601349649832,171.10601349649832,171.10601349649832,92829719,164.16300000000018,174.7928,NaN,55.96044788853513,43.45063778370764,NaN,NaN,NaN,NaN,NaN,NaN
1714656600,182.86,184.6,176.02,180.01,NaN,184.6,176.02,180.01,171.05531848645026,171.07055303162932,171.07055303162932,171.07055303162932,89148041,167.17100000000022,174.49759999999998,NaN,55.97065238048807,44.197730180879475,NaN,NaN,NaN,NaN,NaN,NaN
1714743000,182.1,184.78,178.42,181.19,NaN,184.78,178.42,181.19,170.92473953589248,171.0673683614101,171.0673683614101,171.0673683614101,75491539,170.5850000000002,174.1732,NaN,56.60947472261459,45.48080168906803,NaN,NaN,NaN,NaN,NaN,NaN
1715002200,183.8,187.56,182.2,184.76,NaN,187.56,182.2,184.76,170.8266654175782,171.05293004238948,171.05293004238948,171.05293004238948,84390253,174.8560000000002,174.02899999999997,174.8560000000002,58.56806655316967,47.09439493677423,NaN,NaN,NaN,NaN,NaN,NaN
1715088600,182.4,183.26,177.4,177.81,NaN,183.26,177.4,177.81,170.5497647503874,170.98181864542713,170.98181864542713,170.98181864542713,75045854,178.16900000000018,173.5972,NaN,53.50466945594895,48.416917995890046,NaN,NaN,NaN,NaN,NaN,NaN
