time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1746473400,281.72,282.27,279.26,280.205,NaN,282.27,279.26,280.205,283.4611686890296,283.1401081780046,283.1401081780046,283.1401081780046,854942,279.6355,282.8106,NaN,44.6619824744101,42.10750744460829,NaN,NaN,NaN,NaN,NaN,NaN
1746538200,273.12,277.72,271.37,272.36,NaN,277.72,271.37,272.36,282.8038803279908,283.1201166992993,283.1201166992993,283.1201166992993,1927723,279.1925,282.7226,NaN,31.688452831719886,40.69251316687263,NaN,NaN,31.688452831719886,NaN,NaN,NaN
1746540000,272.4,275.77,271.88,274.6,NaN,275.77,271.88,274.6,282.8416581768778,283.09420569194236,283.09420569194236,283.09420569194236,1134742,278.9945,282.6338,NaN,37.289866310125724,40.61933353810786,NaN,NaN,NaN,NaN,NaN,NaN
1746541800,274.6,275.41,273.7,274.17,NaN,275.41,273.7,274.17,282.8777065263057,283.0626497385144,283.0626497385144,283.0626497385144,667337,278.69050000000004,282.5458,NaN,36.66828319610675,40.7987634389969,NaN,NaN,NaN,NaN,NaN,NaN
1746543600,274.1,275.93,273.98,275.7,NaN,275.93,273.98,275.7,282.91554719775,283.02845110399534,283.02845110399534,283.02845110399534,472267,278.2695,282.5358,NaN,40.47059379955579,41.13158256808314,NaN,NaN,NaN,NaN,NaN,NaN
1746545400,275.69,276.15,272.64,272.84,NaN,276.15,272.64,272.84,282.95087144560506,282.9960183070652,282.9960183070652,282.9960183070652,651802,277.5045,282.44319999999993,NaN,36.106706814779514,41.16280970837905,NaN,NaN,NaN,NaN,NaN,NaN
1746547200,272.81,275.07,272.26,273.42,NaN,275.07,272.26,273.42,282.98857566263285,282.9719001596233,282.9719001596233,282.9719001596233,646422,276.8295,282.3512,NaN,37.57673956597583,41.319584228782716,NaN,NaN,NaN,NaN,NaN,NaN
1746549000,273.36,274.11,272.99,273.095,NaN,274.11,272.99,273.095,283.0251865358225,282.9618854334664,282.9618854334664,282.9618854334664,394578,275.956,282.2293,NaN,37.06217171128196,41.322411253973556,NaN,NaN,NaN,NaN,NaN,NaN
1746550800,273.13,274.55,273.13,273.67,NaN,274.55,273.13,273.67,283.06284085924335,282.9696875003785,282.9696875003785,282.9696875003785,357327,275.18000000000006,282.11890000000005,NaN,38.66253488213138,40.96769046089913,NaN,NaN,NaN,NaN,NaN,NaN
1746552600,273.68,274.11,272.75,273.03,NaN,274.11,272.75,273.03,283.062042265358,282.98814212679673,282.98814212679673,282.98814212679673,450909,274.3090000000001,282.01030000000003,NaN,37.518986085217435,40.43589328913027,NaN,NaN,NaN,NaN,NaN,NaN
1746554400,273.04,275.16,272.82,275,NaN,275.16,272.82,275,283.0656041373407,283.01162288343056,283.01162288343056,283.01162288343056,454320,273.7885,281.88190000000003,NaN,43.09806316080035,40.34718430086036,NaN,NaN,NaN,NaN,NaN,NaN
1746556200,274.92,275.52,274.36,275.49,NaN,275.52,274.36,275.49,283.0685078232166,283.0320394914032,283.0320394914032,283.0320394914032,390863,274.10150000000004,281.7501,NaN,44.42726400622217,40.06729754715567,NaN,NaN,NaN,NaN,NaN,NaN
1746558000,275.47,276.48,274.78,276,NaN,276.48,274.78,276,283.07099061562394,283.0474430285999,283.0474430285999,283.0474430285999,370230,274.2415000000001,281.63289999999995,NaN,45.84520848935366,39.95200138589848,NaN,NaN,NaN,NaN,NaN,NaN
1746559800,276.01,276.71,275.06,275.27,NaN,276.71,275.06,275.27,283.0728820893501,283.05830007930905,283.05830007930905,283.05830007930905,674194,274.35150000000004,281.41389999999996,NaN,44.11030670642147,39.65622571672158,NaN,NaN,NaN,NaN,NaN,NaN
1746624600,276.92,277.92,274.51,275.9,NaN,277.92,274.51,275.9,283.0742442526522,283.0653547341796,283.0653547341796,283.0653547341796,1019349,274.3715,281.14889999999997,NaN,46.00921062660434,39.75245629902117,NaN,NaN,NaN,NaN,NaN,NaN
1746626400,275.92,276.7,273.77,276.47,NaN,276.7,273.77,276.47,283.07472486771263,283.0694970579449,283.0694970579449,283.0694970579449,688489,274.7345,280.93269999999995,NaN,47.739288193884974,40.89894453917582,NaN,NaN,NaN,NaN,47.739288193884974,NaN
1746628200,276.47,277.16,273.81,274.19,NaN,277.16,273.81,274.19,283.07489341027946,283.07177128451775,283.07177128451775,283.07177128451775,561532,274.8115,280.72929999999997,NaN,41.94885935408774,41.23172975660168,NaN,NaN,NaN,NaN,NaN,NaN
1746630000,274.16,274.53,272.95,273.32,NaN,274.53,272.95,273.32,283.07496479447246,283.0730827410258,283.0730827410258,283.0730827410258,510322,274.834,280.5123,NaN,39.957270477460575,41.466657419555524,NaN,NaN,NaN,NaN,NaN,NaN
1746631800,273.29,273.84,272.16,273.2,NaN,273.84,272.16,273.2,283.0749344589472,283.0739497891108,283.0739497891108,283.0739497891108,419936,274.787,280.31669999999997,NaN,39.67745609576323,41.41000472642748,NaN,NaN,NaN,NaN,NaN,NaN
1746633600,273.19,273.89,272.26,272.75,NaN,273.89,272.26,272.75,283.07485086612326,283.0744973135237,283.0744973135237,283.0744973135237,255753,274.759,280.08969999999994,NaN,38.586211000466314,41.58711216826225,NaN,NaN,38.586211000466314,NaN,NaN,NaN
1746635400,272.8,274.64,272.64,274.49,NaN,274.64,272.64,274.49,283.0747121224566,283.07478579850573,283.07478579850573,283.07478579850573,234575,274.70799999999997,279.93069999999994,NaN,44.896889009388644,42.109979985648884,NaN,NaN,NaN,NaN,NaN,NaN
1746637200,274.45,275.57,274,275.35,NaN,275.57,274,275.35,283.07448623166096,283.0748788345476,283.0748788345476,283.0748788345476,317487,274.694,279.77469999999994,NaN,47.7544363519783,42.87371317427006,NaN,NaN,NaN,NaN,NaN,NaN
1746639000,275.38,275.97,273.73,274.16,NaN,275.97,273.73,274.16,283.0739956082873,283.0748005851864,283.0748005851864,283.0748005851864,337467,274.51000000000005,279.60189999999994,NaN,44.32883495948849,43.27844889408128,NaN,NaN,NaN,NaN,NaN,NaN
1746640800,274.01,275.45,271,273.41,NaN,275.45,271,273.41,283.07271068954105,283.0744750794887,283.0744750794887,283.0744750794887,690073,274.324,279.4008999999999,NaN,42.270755679930794,43.61786100798938,NaN,NaN,NaN,NaN,NaN,NaN
1746642600,273.4,275.85,272.92,275.73,NaN,275.85,272.92,275.73,283.07153816293624,283.07395397500477,283.07395397500477,283.07395397500477,613941,274.307,279.30409999999995,NaN,50.00339421305272,44.11109894029312,NaN,NaN,NaN,NaN,NaN,NaN
