time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1248073200,3.1095,3.2945,3.08,3.186,NaN,3.2945,3.08,3.186,3.4099999999999997,3.4212449046854845,3.4212449046854845,3.4212449046854845,13072330,3.147650000000001,3.1792299999999996,NaN,53.227828554047065,51.33508819607513,NaN,NaN,NaN,NaN,NaN,NaN
1248678000,3.24,3.5205,3.1445,3.51,NaN,3.5205,3.1445,3.51,3.41,3.418692356159433,3.418692356159433,3.418692356159433,13063500,3.187150000000001,3.1640499999999996,3.187150000000001,62.43983622575106,52.34377073666143,NaN,NaN,NaN,NaN,NaN,NaN
1249282800,3.52,3.5565,3.3615,3.453,NaN,3.5565,3.3615,3.453,3.4099999999999997,3.4162925145870835,3.4162925145870835,3.4162925145870835,10852110,3.217200000000001,3.1513499999999994,NaN,60.19371877619998,52.941594889097416,NaN,NaN,NaN,NaN,NaN,NaN
1249887600,3.422,3.547,3.422,3.5185,NaN,3.547,3.422,3.5185,3.4100000000000006,3.414166943331844,3.414166943331844,3.414166943331844,7558150,3.248250000000001,3.1390799999999994,NaN,61.89023532832841,53.74009842429086,NaN,NaN,NaN,NaN,NaN,NaN
1250492400,3.532,3.608,3.464,3.5975,NaN,3.608,3.464,3.5975,3.4100000000000006,3.4124421841287695,3.4124421841287695,3.4124421841287695,5593850,3.276500000000001,3.13255,NaN,63.88923907873393,54.89322837961256,NaN,NaN,NaN,NaN,NaN,NaN
1251097200,3.615,3.656,3.5515,3.6035,NaN,3.656,3.5515,3.6035,3.4100000000000006,3.411212830482064,3.411212830482064,3.411212830482064,6673920,3.3084500000000014,3.1268399999999996,NaN,64.043502714402,55.769995119714885,NaN,NaN,NaN,NaN,NaN,NaN
1251702000,3.585,3.609,3.461,3.515,NaN,3.609,3.461,3.515,3.4099999999999975,3.410498440504261,3.410498440504261,3.410498440504261,6713520,3.348000000000001,3.118019999999999,NaN,59.973777995497876,56.272121849011235,NaN,NaN,59.973777995497876,NaN,NaN,NaN
1252306800,3.525,3.943,3.525,3.875,NaN,3.943,3.525,3.875,3.409999982326628,3.410210655340353,3.410210655340353,3.410210655340353,19715820,3.430100000000001,3.1176599999999994,NaN,68.68982189361842,57.271167338528166,NaN,NaN,NaN,NaN,68.68982189361842,NaN
1252911600,3.809,3.933,3.7495,3.774,NaN,3.933,3.7495,3.774,3.409903809413021,3.4101466788889083,3.4101466788889083,3.4101466788889083,9640440,3.5101000000000013,3.1176,NaN,64.44950832154854,57.734285349166804,NaN,NaN,NaN,NaN,NaN,NaN
1253516400,3.851,3.994,3.812,3.8255,NaN,3.994,3.812,3.8255,3.397786316866125,3.408203699359511,3.408203699359511,3.408203699359511,10444930,3.585800000000001,3.13107,NaN,65.61509337982073,58.371663428096035,NaN,NaN,NaN,NaN,NaN,NaN
1254121200,3.805,3.8625,3.684,3.718,NaN,3.8625,3.684,3.718,3.341383104040979,3.3972938567860593,3.3972938567860593,3.3972938567860593,9782060,3.6390000000000016,3.1399499999999994,NaN,61.1110359015155,59.1391910465844,NaN,NaN,NaN,NaN,NaN,NaN
1254726000,3.7315,3.8685,3.6825,3.832,NaN,3.8685,3.6825,3.832,3.326572880129153,3.3840957685265454,3.3840957685265454,3.3840957685265454,8584660,3.671200000000001,3.15611,NaN,63.93806494504298,60.272930103302706,NaN,NaN,NaN,NaN,NaN,NaN
1255330800,3.846,3.975,3.833,3.8885,NaN,3.975,3.833,3.8885,3.253499983991782,3.3595742300547835,3.3595742300547835,3.3595742300547835,7679720,3.714750000000001,3.16922,NaN,65.28500802822343,61.697410505866664,NaN,NaN,NaN,NaN,NaN,NaN
1255935600,3.894,3.95,3.752,3.7995,NaN,3.95,3.752,3.7995,3.2534552045777874,3.3358204409530856,3.3358204409530856,3.3358204409530856,6173330,3.7428500000000016,3.18041,NaN,61.394924477110685,62.581542544274335,NaN,NaN,NaN,NaN,NaN,NaN
1256544000,3.804,4.173,3.804,3.9315,NaN,4.173,3.804,3.9315,3.2512708389639124,3.313290519281308,3.313290519281308,3.313290519281308,26778430,3.776250000000001,3.1973599999999998,NaN,64.74979470732842,63.404540126651575,NaN,NaN,NaN,NaN,NaN,NaN
1257148800,3.9055,3.926,3.783,3.861,NaN,3.926,3.783,3.861,3.24125,3.291757944756928,3.291757944756928,3.291757944756928,10153240,3.802000000000002,3.22356,NaN,61.66740962174856,63.349366797794254,NaN,NaN,NaN,NaN,NaN,NaN
1257753600,3.88,3.961,3.804,3.917,NaN,3.961,3.804,3.917,3.24125,3.27383921046424,3.27383921046424,3.27383921046424,6479770,3.842200000000001,3.2411199999999996,NaN,63.16732033849726,63.56176690938692,NaN,NaN,NaN,NaN,NaN,NaN
1258358400,3.961,3.961,3.837,3.85,NaN,3.961,3.837,3.85,3.24125,3.2602648994991736,3.2602648994991736,3.2602648994991736,8849850,3.8397000000000014,3.259979999999999,NaN,60.13552549937499,63.43643049303311,NaN,NaN,NaN,NaN,NaN,NaN
