time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1743069600,36.88,36.915,36.77,36.79,NaN,36.915,36.77,36.79,37.71499999593728,37.86641630041547,37.86641630041547,37.86641630041547,29374,37.331999999999915,38.15340000000001,NaN,28.207022536435574,31.44558945177054,NaN,NaN,NaN,NaN,NaN,NaN
1743071400,36.78,36.88,36.74,36.88,NaN,36.88,36.74,36.88,37.71499778208653,37.801937974873255,37.801937974873255,37.801937974873255,24807,37.219999999999914,38.12560000000001,NaN,31.055932388505212,31.26385431114426,NaN,NaN,NaN,NaN,NaN,NaN
1743073200,36.87,36.98,36.81,36.93,NaN,36.98,36.81,36.93,37.71479433732253,37.75552476037136,37.75552476037136,37.75552476037136,108896,37.103999999999914,38.10400000000001,NaN,32.65481101208644,31.263121377473908,NaN,NaN,NaN,NaN,NaN,NaN
1743075000,36.93,37.02,36.9,36.99,NaN,37.02,36.9,36.99,37.710655815580495,37.72753875293382,37.72753875293382,37.72753875293382,31307,37.01799999999991,38.08340000000001,NaN,34.614407211119456,31.55486996419848,NaN,NaN,NaN,NaN,NaN,NaN
1743076800,36.98,37.03,36.93,37.02,NaN,37.03,36.93,37.02,37.68579351987968,37.71170990837242,37.71170990837242,37.71170990837242,18519,36.92599999999991,38.06460000000002,NaN,35.62306762876271,32.283815365371865,NaN,NaN,NaN,NaN,NaN,NaN
1743078600,37.03,37.07,36.88,36.89,NaN,37.07,36.88,36.89,37.64,37.69789304864893,37.69789304864893,37.69789304864893,18506,36.833999999999904,38.03820000000002,NaN,33.23079626473678,31.894179902895747,NaN,NaN,NaN,NaN,NaN,NaN
1743080400,36.9,36.97,36.85,36.92,NaN,36.97,36.85,36.92,37.64,37.68613544729691,37.68613544729691,37.68613544729691,34491,36.87099999999991,38.00780000000002,NaN,34.32684432370553,31.28928185984092,NaN,NaN,NaN,NaN,NaN,NaN
1743082200,36.92,37.21,36.87,36.985,NaN,37.21,36.87,36.985,37.64,37.67481860800321,37.67481860800321,37.67481860800321,61105,36.90549999999991,37.97890000000001,NaN,36.749513188694024,31.35085457864519,NaN,NaN,NaN,NaN,NaN,NaN
1743084000,37,37.07,36.88,36.93,NaN,37.07,36.88,36.93,37.64,37.664407645769984,37.664407645769984,37.664407645769984,37822,36.92149999999991,37.95110000000002,NaN,35.554334759767244,31.046801588963167,NaN,NaN,NaN,NaN,NaN,NaN
1743085800,36.93,37.05,36.87,36.98,NaN,37.05,36.87,36.98,37.64,37.655457480653055,37.655457480653055,37.655457480653055,68913,36.9314999999999,37.92390000000001,NaN,37.542967121140634,31.131971252673004,NaN,NaN,NaN,NaN,NaN,NaN
1743087600,36.98,37.08,36.97,37.04,NaN,37.08,36.97,37.04,37.64,37.64848055535528,37.64848055535528,37.64848055535528,46778,36.956499999999906,37.897100000000016,NaN,39.93807971368804,32.62334904921396,NaN,NaN,NaN,NaN,39.93807971368804,NaN
1743089400,37.03,37.03,36.84,36.88,NaN,37.03,36.84,36.88,37.64,37.64377109558032,37.64377109558032,37.64377109558032,53627,36.956499999999906,37.86710000000001,NaN,35.97610135229938,33.62763956670178,NaN,NaN,NaN,NaN,NaN,NaN
1743091200,36.88,36.91,36.83,36.85,NaN,36.91,36.83,36.85,37.64,37.641232328685525,37.641232328685525,37.641232328685525,166220,36.9484999999999,37.83750000000001,NaN,35.26960253249739,34.29114323989412,NaN,NaN,NaN,NaN,NaN,NaN
1743148800,36.66,36.72,36.41,36.45,NaN,36.72,36.41,36.45,37.59,37.632352678395335,37.632352678395335,37.632352678395335,95625,36.8944999999999,37.79890000000001,NaN,27.511785405006222,34.16109038846029,NaN,NaN,NaN,NaN,NaN,NaN
1743150600,36.41,36.45,36.25,36.42,NaN,36.45,36.25,36.42,37.575,37.62189093843626,37.62189093843626,37.62189093843626,37857,36.8344999999999,37.76250000000001,NaN,27.03154816026047,34.077127933019206,NaN,NaN,27.03154816026047,NaN,NaN,NaN
1743152400,36.42,36.59,36.36,36.58,NaN,36.59,36.36,36.58,37.575,37.61174688304366,37.61174688304366,37.61174688304366,50520,36.8034999999999,37.72750000000001,NaN,33.680618704294815,34.26460552700418,NaN,NaN,NaN,NaN,NaN,NaN
1743154200,36.57,36.57,36.27,36.32,NaN,36.57,36.27,36.32,37.52499999999999,37.59413587081061,37.59413587081061,37.59413587081061,41619,36.7434999999999,37.68550000000002,NaN,29.048427434184262,34.00700670001117,NaN,NaN,NaN,NaN,NaN,NaN
1743156000,36.31,36.41,36.26,36.41,NaN,36.41,36.26,36.41,37.525,37.57748451050554,37.57748451050554,37.57748451050554,17723,36.6859999999999,37.64390000000001,NaN,32.50868296075048,33.85659782498481,NaN,NaN,NaN,NaN,NaN,NaN
1743157800,36.41,36.47,36.3,36.31,NaN,36.47,36.3,36.31,37.519999999999996,37.561638585929416,37.561638585929416,37.561638585929416,66859,36.623999999999896,37.59810000000002,NaN,30.71619699698681,33.506107065572245,NaN,NaN,NaN,NaN,NaN,NaN
1743159600,36.31,36.43,36.31,36.37,NaN,36.43,36.31,36.37,37.519999999999996,37.548086574531425,37.548086574531425,37.548086574531425,38055,36.5629999999999,37.55130000000001,NaN,33.09972482298261,33.49674481973266,NaN,NaN,NaN,NaN,NaN,NaN
1743161400,36.38,36.4,36.28,36.28,NaN,36.4,36.28,36.28,37.504999999999995,37.53499534760428,37.53499534760428,37.53499534760428,42062,36.486999999999895,37.504500000000014,NaN,31.35711351155635,33.284621190293436,NaN,NaN,NaN,NaN,NaN,NaN
1743163200,36.28,36.38,36.24,36.31,NaN,36.38,36.24,36.31,37.504999999999995,37.52495358918515,37.52495358918515,37.52495358918515,25603,36.4299999999999,37.459100000000014,NaN,32.630335006479626,32.99039417727813,NaN,NaN,NaN,NaN,NaN,NaN
1743165000,36.32,36.39,36.24,36.38,NaN,36.39,36.24,36.38,37.504999999999995,37.51770311052394,37.51770311052394,37.51770311052394,36692,36.3829999999999,37.415900000000015,NaN,35.630532271888484,32.99583685671535,NaN,NaN,NaN,NaN,NaN,NaN
1743166800,36.38,36.41,36.21,36.23,NaN,36.41,36.21,36.23,37.48,37.50869163465015,37.50869163465015,37.50869163465015,36535,36.3609999999999,37.367100000000015,NaN,32.31005145774385,32.62205716647272,NaN,NaN,NaN,NaN,NaN,NaN
1743168600,36.22,36.33,36.1,36.12,NaN,36.33,36.1,36.12,37.425,37.492712145969065,37.492712145969065,37.492712145969065,39767,36.33099999999989,37.31610000000001,NaN,30.09511732749506,31.918988424601796,NaN,NaN,NaN,NaN,NaN,NaN
1743170400,36.11,36.14,35.95,35.98,NaN,36.14,35.95,35.98,37.355,37.46698764905469,37.46698764905469,37.46698764905469,57614,36.270999999999894,37.26130000000002,NaN,27.510252832183824,31.314284958879256,NaN,NaN,NaN,NaN,NaN,NaN
1743172200,35.98,35.99,35.92,35.92,NaN,35.99,35.92,35.92,37.325,37.437665029072036,37.437665029072036,37.437665029072036,29870,36.230999999999895,37.20630000000001,NaN,26.46128872023489,30.68511968657479,NaN,NaN,26.46128872023489,NaN,NaN,NaN
1743174000,35.93,36.15,35.79,36.14,NaN,36.15,35.79,36.14,37.325,37.410021974048924,37.410021974048924,37.410021974048924,40242,36.2039999999999,37.156700000000015,NaN,36.084660459914254,31.297467904782508,NaN,NaN,NaN,NaN,NaN,NaN
1743175800,36.15,36.21,36.15,36.15,NaN,36.21,36.15,36.15,37.325,37.384988185863996,37.384988185863996,37.384988185863996,25549,36.187999999999896,37.10630000000002,NaN,36.491483199717365,31.973177550457997,NaN,NaN,NaN,NaN,NaN,NaN
